Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-12-16,14:46:22.570,-16,8,-1024,10,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:22.600,-15,8,-1024,12,214,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:22.700,-15,8,-1024,10,214,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:22.800,-15,8,-1024,10,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:22.900,-15,8,-1024,12,215,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.000,-15,8,-1024,12,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.100,-16,8,-1024,12,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.200,-15,8,-1024,10,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.300,-15,8,-1024,12,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.400,-15,8,-1024,12,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.500,-15,8,-1024,12,215,204,-18,0,-993,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.600,-15,25,-1024,12,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.3
2018-12-16,14:46:23.700,-16,95,-930,12,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:23.800,-16,238,-558,12,214,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:23.900,-15,220,-611,10,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.000,-15,238,-628,12,214,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.100,-15,254,-279,10,214,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.200,-15,138,-138,-73,214,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.300,-13,69,-290,-77,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.400,-15,-64,-198,-116,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.500,-16,-128,-106,12,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.600,-16,-197,-76,177,215,204,-17,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.700,-16,-144,-28,268,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.800,-15,-21,-133,19,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:24.900,-15,6,-152,-301,215,204,-17,-1,-993,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.000,-15,45,-109,-150,214,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.100,-15,88,-182,0,214,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.200,6,62,-203,6,215,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.300,153,38,-188,85,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.400,219,12,-46,168,215,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.500,261,11,-44,281,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.600,281,9,-47,298,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.700,300,6,-46,256,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.800,300,-74,12,149,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:25.900,278,-9,-4,10,214,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.000,199,-3,-41,-37,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.100,165,1,-42,22,214,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.200,99,4,-87,171,214,204,-17,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.300,75,1,-133,18,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.400,72,4,-219,-69,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.500,75,-15,-198,-127,215,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.600,58,-58,-88,-107,215,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.700,20,-35,-31,19,215,204,-17,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.800,12,-16,-30,21,214,204,-17,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:26.900,35,1,-95,18,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:27.000,55,-1,-98,77,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:27.100,57,3,-119,77,215,204,-18,0,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:27.200,57,6,-119,18,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:27.300,61,11,-161,-31,215,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:27.400,68,11,-185,-26,215,204,-17,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:27.500,72,12,-209,35,214,204,-18,-1,-995,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
2018-12-16,14:46:27.600,35,11,-100,100,215,204,-18,-1,-993,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.3
