Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-09-18,21:12:42.070,-10,11,-1024,6,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.090,-10,11,-1024,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.190,-10,11,-1024,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.290,-9,11,-1024,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.390,-9,11,-1024,6,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.490,-9,11,-1024,6,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.590,-9,11,-1024,6,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.690,-106,11,-1024,6,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.5
2019-09-18,21:12:42.790,44,11,-849,4,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:42.890,72,11,-874,4,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:42.990,-147,11,-774,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.090,-20,12,-787,4,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.190,-13,12,-790,4,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.290,-12,12,-792,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.390,-10,16,-792,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.490,-7,148,-525,32,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.590,-9,249,-166,50,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.690,-7,211,-122,10,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.790,26,170,-106,9,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.890,21,170,-211,24,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:43.990,125,130,-214,7,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.090,105,25,-214,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.190,77,19,-314,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.290,77,-3,-317,7,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.390,58,-1,-155,65,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.490,109,-23,-85,29,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.590,128,-50,19,90,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.690,188,-67,53,174,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.790,283,-87,51,192,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.890,379,-69,-11,287,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:44.990,398,-52,-82,346,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.090,393,-53,-152,345,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.190,354,-77,-279,200,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.290,288,-80,-190,4,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.390,233,-63,-12,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.490,241,-123,-6,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.590,218,-74,-117,6,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.690,179,-32,-257,6,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.790,175,-29,-234,7,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.890,41,8,-61,-270,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:45.990,20,9,-63,-226,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.090,23,8,-114,-110,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.190,41,-32,-17,-20,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.290,82,-13,-17,227,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.390,43,-35,-80,125,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.490,46,-52,-215,7,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.590,43,-21,-277,6,257,204,-1,0,0,-3,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.690,188,-1,-304,6,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.790,322,-3,-288,267,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.890,221,-43,-26,224,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:46.990,275,-49,-9,145,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.090,354,-92,-4,221,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.190,407,-148,-4,301,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.290,441,-172,17,304,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.390,439,-194,64,261,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.490,435,-117,64,223,257,204,-2,0,0,-4,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.590,413,-77,61,111,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.690,254,9,-31,-91,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.790,12,49,-195,-248,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.890,-9,48,-198,-318,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:47.990,-170,11,-192,-388,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.090,-363,11,-95,-273,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.190,-494,-89,42,-486,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.290,-304,-180,80,-233,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.390,-78,-263,-180,165,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.490,-97,-245,-15,317,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.590,-155,-268,140,215,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.690,-224,-132,130,-27,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.790,-497,-43,-355,-371,257,204,-2,0,0,-3,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.890,-406,-4,-209,-275,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:48.990,-384,0,-47,4,256,204,-1,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.090,-220,-20,98,158,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.190,-275,-1,74,15,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.290,-230,3,34,-97,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.390,-192,6,25,67,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.490,-46,82,-103,181,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.590,-24,104,-96,18,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.690,-18,109,-46,12,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.790,-109,132,-44,9,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.890,-329,66,-160,-164,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:49.990,-371,-1,-22,-376,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.090,-368,-40,98,-416,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.190,-341,-115,-192,-304,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.290,-380,-141,-212,-285,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.390,-329,-163,-211,-184,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.490,-528,-482,-61,-486,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.590,-546,-602,107,-602,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.690,-549,-444,245,-332,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.790,-434,-288,303,6,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.890,-338,-229,265,9,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:50.990,-121,-155,32,7,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.090,4,-95,-73,275,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.190,103,-77,62,541,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.290,102,-16,102,591,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.390,168,6,103,567,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.490,185,8,157,84,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.590,80,9,10,-282,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.690,0,9,-254,-405,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.790,23,-12,-139,-289,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.890,65,9,-138,6,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:51.990,105,-32,73,265,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:52.090,40,-37,77,204,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:52.190,-92,11,-122,-175,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:52.290,-289,9,-176,-472,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:52.390,-252,9,-174,-178,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:52.490,-174,9,-174,-3,257,204,-2,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:52.590,-137,9,-128,1,257,204,-1,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
2019-09-18,21:12:52.690,-209,8,-61,-54,257,204,-2,0,0,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.5
