Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-03-08,22:21:05.570,0,0.00,0.0,0.00,0.00,0.00,30002,99,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:05.650,0,0.00,0.0,0.00,0.00,0.00,10002,99,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:05.760,0,0.00,0.0,0.00,0.00,0.00,10002,96,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-744,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:05.870,0,0.00,0.0,0.00,0.00,0.00,20002,96,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-4,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:05.970,0,0.00,0.0,0.00,0.00,0.00,20002,96,5.1,4.20,12.60,0.0,-10,9,-1024,9,1024,204,-4,-744,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.070,0,0.00,0.0,0.00,0.00,0.00,30002,96,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.170,0,0.00,0.0,0.00,0.00,0.00,30002,96,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.270,0,0.00,0.0,0.00,0.00,0.00,10002,96,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.370,0,0.00,0.0,0.00,0.00,0.00,10002,96,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.470,0,0.00,0.0,0.00,0.00,0.00,10002,96,5.1,4.20,12.60,0.0,-12,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.570,0,0.00,0.0,0.00,0.00,0.00,20002,96,5.1,4.20,12.60,0.0,-10,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.670,0,0.00,0.0,0.00,0.00,0.00,20002,96,5.1,4.20,12.60,0.0,150,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-03-08,22:21:06.770,0,0.00,0.0,0.00,0.00,0.00,30002,96,5.1,4.20,12.60,0.0,1024,9,-1024,9,1024,204,-5,-743,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
