Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-02-09,08:00:57.650,0,0.00,0.0,0.00,0.00,0.00,20001,83,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:57.740,0,0.00,0.0,0.00,0.00,0.00,20001,83,5.1,4.16,12.50,0.0,-12,8,-1024,9,-4,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:57.840,0,0.00,0.0,0.00,0.00,0.00,30001,83,5.1,4.16,12.50,0.0,-12,8,-1024,9,-4,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:57.940,0,0.00,0.0,0.00,0.00,0.00,30001,83,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.040,0,0.00,0.0,0.00,0.00,0.00,30001,87,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.140,0,0.00,0.0,0.00,0.00,0.00,10001,87,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.240,0,0.00,0.0,0.00,0.00,0.00,10001,87,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.340,0,0.00,0.0,0.00,0.00,0.00,20001,87,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.440,0,0.00,0.0,0.00,0.00,0.00,20001,87,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.540,0,0.00,0.0,0.00,0.00,0.00,30001,88,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.640,0,0.00,0.0,0.00,0.00,0.00,30001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.740,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.840,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-12,6,-1024,9,-4,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:58.940,0,0.00,0.0,0.00,0.00,0.00,20001,89,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.040,0,0.00,0.0,0.00,0.00,0.00,20001,89,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.140,0,0.00,0.0,0.00,0.00,0.00,30001,89,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.240,0,0.00,0.0,0.00,0.00,0.00,30001,89,5.1,4.16,12.50,0.0,-10,8,-1024,9,-4,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.340,0,0.00,0.0,0.00,0.00,0.00,30001,85,5.1,4.16,12.50,0.0,-10,6,-1024,9,-4,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.440,0,0.00,0.0,0.00,0.00,0.00,10001,85,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.540,0,0.00,0.0,0.00,0.00,0.00,10001,85,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.640,0,0.00,0.0,0.00,0.00,0.00,20001,85,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.740,0,0.00,0.0,0.00,0.00,0.00,20001,85,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.840,0,0.00,0.0,0.00,0.00,0.00,30001,86,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:00:59.940,0,0.00,0.0,0.00,0.00,0.00,30001,86,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.040,0,0.00,0.0,0.00,0.00,0.00,10001,86,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.140,0,0.00,0.0,0.00,0.00,0.00,10001,86,5.1,4.16,12.50,0.0,-12,6,-1024,9,-4,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.240,0,0.00,0.0,0.00,0.00,0.00,10001,86,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.340,0,0.00,0.0,0.00,0.00,0.00,20001,86,5.1,4.16,12.50,0.0,-12,8,-1024,9,-4,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.440,0,0.00,0.0,0.00,0.00,0.00,20001,86,5.1,4.16,12.50,0.0,-10,8,-1024,10,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.540,0,0.00,0.0,0.00,0.00,0.00,30001,86,5.1,4.16,12.50,0.0,-10,6,-1024,9,-4,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.640,0,0.00,0.0,0.00,0.00,0.00,30001,86,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.740,0,0.00,0.0,0.00,0.00,0.00,10001,87,5.1,4.16,12.50,0.0,-10,6,-1024,10,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.840,0,0.00,0.0,0.00,0.00,0.00,10001,87,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:00.940,0,0.00,0.0,0.00,0.00,0.00,20001,87,5.1,4.16,12.50,0.0,-12,6,-1024,10,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.040,0,0.00,0.0,0.00,0.00,0.00,20001,87,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.140,0,0.00,0.0,0.00,0.00,0.00,30001,90,5.1,4.16,12.50,0.0,-10,6,-1024,9,-4,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.240,0,0.00,0.0,0.00,0.00,0.00,30001,90,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.340,0,0.00,0.0,0.00,0.00,0.00,10001,90,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.440,0,0.00,0.0,0.00,0.00,0.00,10001,90,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-5,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.540,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.640,0,0.00,0.0,0.00,0.00,0.00,20001,88,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.740,0,0.00,0.0,0.00,0.00,0.00,20001,88,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.840,0,0.00,0.0,0.00,0.00,0.00,30001,88,5.1,4.16,12.50,0.0,-10,8,-1024,10,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:01.940,0,0.00,0.0,0.00,0.00,0.00,30001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.040,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-4,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.140,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.240,0,0.00,0.0,0.00,0.00,0.00,20001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.340,0,0.00,0.0,0.00,0.00,0.00,20001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.440,0,0.00,0.0,0.00,0.00,0.00,30001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.540,0,0.00,0.0,0.00,0.00,0.00,30001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-4,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.640,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.740,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.840,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:02.940,0,0.00,0.0,0.00,0.00,0.00,20001,90,5.1,4.16,12.50,0.0,-12,8,-1024,9,-5,204,-5,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:03.040,0,0.00,0.0,0.00,0.00,0.00,20001,90,5.1,4.16,12.50,0.0,-10,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:03.140,0,0.00,0.0,0.00,0.00,0.00,30001,90,5.1,4.16,12.50,0.0,-10,8,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:03.240,0,0.00,0.0,0.00,0.00,0.00,30001,90,5.1,4.16,12.50,0.0,-12,8,-1024,9,-4,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:03.340,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:03.440,0,0.00,0.0,0.00,0.00,0.00,10001,88,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:03.540,0,0.00,0.0,0.00,0.00,0.00,20001,88,5.1,4.16,12.50,0.0,-12,6,-1024,9,-5,204,-4,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
2018-02-09,08:01:03.640,0,0.00,0.0,0.00,0.00,0.00,20001,88,5.1,4.16,12.50,0.0,-12,-32,-1024,10,-4,204,-4,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.4
