Date,Time,RSSI(dB),RxBt(V),A2(V),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-29,21:43:31.930,87,5.0,10.5,10001,14.80,3.70,0.1,3,-6,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:43:32.000,87,5.0,10.5,10001,14.80,3.70,0.1,3,-6,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:43:32.100,83,5.0,10.5,20001,14.80,3.70,0.1,3,-4,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:43:32.200,83,5.0,10.5,20001,14.80,3.70,0.1,3,-4,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:43:32.300,83,5.0,10.5,30001,14.80,3.70,0.1,3,-4,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:43:32.400,83,5.0,10.5,30001,14.80,3.70,0.1,3,-4,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:43:32.500,80,5.0,10.5,10001,14.80,3.70,0.1,3,-6,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:43:32.600,80,5.0,10.5,20001,14.80,3.70,0.1,3,-4,12,-1024,6,1024,204,-7,1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.7
2018-07-29,21:59:26.550,83,4.6,10.6,0,0.00,0.00,0.0,0,-3,12,-1024,4,-817,204,-7,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
2018-07-29,21:59:26.640,83,4.6,10.6,0,0.00,0.00,0.0,0,-3,12,-1024,4,-817,204,-7,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
