Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-04-01,09:04:44.390,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-9,9,-1024,10,-700,204,38,9,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:44.480,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-9,9,-1024,10,-700,204,38,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:44.600,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-9,11,-1024,10,-700,204,38,8,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:44.700,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-9,11,-1024,10,-700,204,38,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:44.800,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-10,11,-1024,10,-700,204,39,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:44.900,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-10,11,-1024,10,-700,204,39,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:45.000,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-10,9,-1024,9,-700,204,39,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:45.100,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-10,9,-1024,9,-700,204,39,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:45.200,0,0.00,10.7,0.00,0.00,0.00,10005,82,4.7,4.02,16.10,0.0,-10,9,-1024,10,-700,204,39,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:45.300,0,0.00,10.7,0.00,0.00,0.00,10005,77,4.7,4.02,16.10,0.0,-10,9,-1024,10,-700,204,39,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:45.400,0,0.00,10.7,0.00,0.00,0.00,10005,77,4.7,4.02,16.10,0.0,-10,11,-1024,10,-700,204,39,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:45.500,0,0.00,10.7,0.00,0.00,0.00,10005,77,4.7,4.02,16.10,0.0,-10,9,-1024,10,-700,204,38,9,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.6
2018-04-01,09:04:45.600,0,0.00,10.7,0.00,0.00,0.00,10005,77,4.7,4.02,16.10,0.0,-10,9,-981,10,-700,204,39,9,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.6
2018-04-01,09:04:45.700,0,0.00,10.7,0.00,0.00,0.00,10005,81,4.7,4.02,16.10,0.0,-10,9,-871,10,-700,204,38,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.6
2018-04-01,09:04:45.800,0,0.00,10.7,0.00,0.00,0.00,10005,81,4.7,4.02,16.10,0.0,-12,9,-774,9,-700,204,38,8,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.6
