Date,Time,A2(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-11-26,19:41:30.640,6.6,79,4.6,-1,1,-968,3,-1024,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:41:30.670,6.6,79,4.6,-1,1,-968,3,-1024,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:41:30.770,6.6,79,4.6,-1,1,-968,3,-1024,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:41:30.870,6.6,74,4.6,-1,1,-968,3,-1024,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:18.670,6.6,83,4.6,-3,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:18.770,6.6,83,4.6,-3,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:18.870,6.6,78,4.6,-3,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:18.970,6.6,78,4.6,-3,1,-1022,3,-355,204,-1,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:19.070,6.6,78,4.6,-3,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:19.170,6.6,78,4.6,-3,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:19.270,6.6,79,4.6,-3,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:19.370,6.6,79,4.6,-3,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:19.470,6.6,79,4.6,-4,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:45:19.570,6.6,79,4.6,-3,0,-1024,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:45:19.670,6.6,88,4.6,-4,1,-1022,3,-355,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:19.770,6.6,88,4.6,-4,1,-1022,3,-355,204,0,1024,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:19.870,6.6,88,4.6,-3,0,-1022,3,-355,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:45:19.970,6.6,88,4.6,-3,1,-1022,3,-355,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:45:20.070,6.6,88,4.6,-3,1,-1022,3,-355,204,0,1024,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:44.760,6.7,82,4.9,-3,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:44.850,6.7,82,4.9,-3,1,-1022,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:44.950,6.7,82,4.9,-3,1,-1022,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:45.090,6.7,82,4.9,-1,1,-1024,3,-510,204,0,1,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:45.190,6.7,82,4.9,-1,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:45.290,6.7,82,4.9,-1,1,-1022,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:45.390,6.7,82,4.9,-1,1,-1022,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:45.490,6.7,82,4.9,-3,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:45.620,6.7,83,4.9,-3,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:45.720,6.7,83,4.9,-1,1,-1022,3,-510,204,0,-1,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:45.820,6.7,83,4.9,-1,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:45.920,6.7,83,4.9,-1,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.050,6.7,83,4.9,-1,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.150,6.7,83,4.9,-3,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.250,6.7,83,4.9,-3,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:46.350,6.7,83,4.9,-1,1,-1022,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:46.450,6.7,83,4.9,-3,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:46.580,6.7,82,4.9,723,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.680,6.7,82,4.9,1024,1,-1024,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.780,6.7,82,4.9,1024,1,-1024,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.880,6.7,82,4.9,1024,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.010,6.7,82,4.9,1024,1,-1024,3,-510,204,0,-1,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.110,6.7,82,4.9,1024,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.210,6.7,82,4.9,1024,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.310,6.7,82,4.9,438,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.410,6.7,83,4.9,0,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.540,6.7,83,4.9,0,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.640,6.7,83,4.9,-1,1,-1001,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:47.740,6.7,83,4.9,-1,1,-612,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:47.840,6.7,83,4.9,-16,1,-617,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:47.940,6.7,83,4.9,-7,1,-639,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.070,6.7,83,4.9,-6,1,-150,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.170,6.7,83,4.9,-3,1,239,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.270,6.7,83,4.9,-73,1,-73,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.370,6.7,83,4.9,-3,1,-42,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.500,6.7,83,4.9,-9,1,62,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
