Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-06,22:47:46.000,0,1.10,0.0,-0.14,-0.08,1.14,30002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.090,0,1.10,0.0,-0.14,-0.08,1.14,30002,101,4.7,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.190,0,1.10,0.0,-0.14,-0.07,1.14,30002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.290,0,1.10,0.0,-0.14,-0.07,1.14,10002,102,4.7,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.390,0,1.20,0.0,-0.14,-0.08,1.14,10002,102,4.7,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.490,0,1.20,0.0,-0.14,-0.08,1.14,20002,102,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-4,0,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.590,0,1.20,0.0,-0.14,-0.08,1.14,20002,102,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.690,0,1.20,0.0,-0.14,-0.08,1.14,30002,102,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.790,0,1.20,0.0,-0.14,-0.08,1.14,30002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.890,0,1.20,0.0,-0.14,-0.08,1.14,10002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:46.990,0,1.20,0.0,-0.14,-0.08,1.14,10002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:47.090,0,1.20,0.0,-0.14,-0.08,1.14,20002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:47.190,0,1.20,0.0,-0.14,-0.08,1.14,20002,101,4.7,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:47.290,0,1.20,0.0,-0.14,-0.08,1.14,20002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:47.390,0,1.20,0.0,-0.14,-0.08,1.14,30002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:47.490,0,1.20,0.0,-0.14,-0.08,1.14,30002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:47.590,0,1.20,0.0,-0.14,-0.08,1.14,10002,102,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
2018-07-06,22:47:47.690,0,1.20,0.0,-0.14,-0.08,1.14,10002,102,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.2
