Date,Time,VFAS(V),Curr(A),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-27,08:30:06.660,14.50,0.6,16,0.00,0.00,0.00,0.00,10005,3.62,102,4.9,-4,14,-927,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:06.690,14.50,0.6,16,0.00,0.00,0.00,0.00,10005,3.62,102,4.9,-4,14,-927,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:06.790,14.50,0.6,16,0.00,0.00,0.00,0.00,20005,3.62,102,4.9,-4,14,-928,4,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:06.890,14.50,0.6,16,0.00,0.00,0.00,0.00,30005,3.62,102,4.9,-4,14,-928,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:06.990,14.50,1.1,16,0.00,0.00,0.00,0.00,10005,3.62,102,4.9,-4,14,-928,4,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.090,14.50,1.1,16,0.00,0.00,0.00,0.00,30005,3.62,102,4.9,-4,14,-928,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.190,14.50,1.1,16,0.00,0.00,0.00,0.00,30005,3.62,102,4.9,-4,14,-928,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.290,14.50,1.1,16,0.00,0.00,0.00,0.00,20005,3.62,102,4.9,-4,14,-928,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.390,14.50,1.1,16,0.00,0.00,0.00,0.00,10005,3.62,102,4.9,-4,14,-928,4,21,-205,-5,-1022,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.490,14.50,1.1,16,0.00,0.00,0.00,0.00,10005,3.62,102,4.9,-3,14,-928,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.590,14.50,1.1,16,0.00,0.00,0.00,0.00,20005,3.62,101,4.9,-4,14,-928,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.690,14.50,1.1,16,0.00,0.00,0.00,0.00,10005,3.62,101,4.9,-4,14,-928,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.790,14.50,0.5,16,0.00,0.00,0.00,0.00,20005,3.62,101,4.9,-4,14,-928,4,20,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.890,14.50,0.5,16,0.00,0.00,0.00,0.00,30005,3.62,101,4.9,-6,14,-925,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:07.990,14.50,0.5,16,0.00,0.00,0.00,0.00,20005,3.62,101,4.9,-6,14,-828,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.090,14.50,0.5,16,0.00,0.00,0.00,0.00,20005,3.62,102,4.9,-6,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.190,14.50,0.5,16,0.00,0.00,0.00,0.00,30005,3.60,102,4.9,-6,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.290,14.50,0.5,16,0.00,0.00,0.00,0.00,20005,3.60,102,4.9,-4,14,-828,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.390,14.50,0.5,16,0.00,0.00,0.00,0.00,30005,3.60,102,4.9,-4,14,-827,4,21,-205,-4,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.490,14.40,1.4,16,0.00,0.00,0.00,0.00,10005,3.60,102,4.9,-4,14,-827,4,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.590,14.40,1.4,16,0.00,0.00,0.00,0.00,30005,3.60,102,4.9,-4,14,-827,4,21,-205,-5,-1022,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.690,14.40,1.4,17,0.00,0.00,0.00,0.00,10005,3.60,102,4.9,-4,14,-827,4,21,-205,-4,-1022,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.790,14.40,1.4,17,0.00,0.00,0.00,0.00,20005,3.60,102,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.890,14.40,1.4,17,0.00,0.00,0.00,0.00,30005,3.60,101,4.9,-3,14,-827,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.990,14.40,1.4,17,0.00,0.00,0.00,0.00,10005,3.60,101,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.090,14.40,1.4,17,0.00,0.00,0.00,0.00,20005,3.60,101,4.9,-4,14,-827,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.190,14.40,0.9,17,0.00,0.00,0.00,0.00,10005,3.60,101,4.9,-4,14,-827,4,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.290,14.40,0.9,17,0.00,0.00,0.00,0.00,20005,3.60,101,4.9,-4,14,-827,3,20,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.390,14.40,0.9,17,0.00,0.00,0.00,0.00,20005,3.60,102,4.9,-4,14,-827,4,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.490,14.40,0.9,17,0.00,0.00,0.00,0.00,10005,3.60,102,4.9,-4,14,-827,4,20,-205,-4,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.590,14.40,0.9,17,0.00,0.00,0.00,0.00,20006,3.60,102,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.690,14.40,0.9,17,0.00,0.00,0.00,0.00,30006,3.60,102,4.9,-4,14,-827,4,20,-205,-5,-1024,-3,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.790,14.40,0.9,17,0.00,0.00,0.00,0.00,10002,3.60,102,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
