Date,Time,VFAS(V),Curr(A),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-09-07,23:57:05.140,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,8,-1024,3,45,204,-24,-1024,-906,-1,1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.220,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,8,-1024,3,45,204,-24,-1024,-906,-1,1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.320,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,8,-1024,3,45,204,-24,-1024,-906,-1,1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.420,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,8,-1024,3,45,204,-24,-1024,-906,-1,1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.520,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,8,-1024,3,45,204,-25,-1024,-906,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.620,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-4,8,-1024,3,45,204,-24,-1024,-904,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.720,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-4,8,-1024,3,45,204,-25,-1024,-904,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.820,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,8,-1024,3,45,204,-25,-1024,-906,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:05.920,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,8,-1024,3,45,204,-24,-1024,-906,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:06.020,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,9,-1024,3,45,204,-24,-1024,-906,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:06.120,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,9,-1024,3,45,204,-24,-1024,-906,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
2018-09-07,23:57:06.220,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-6,9,-1024,3,45,204,-24,-1024,-906,-1,-1,1,1,-1,-1,-1,-1,0x0000000000000020,7.9
