Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-09-21,11:41:54.820,11.42,3.80,10001,92,4.9,0.6,2,-9,12,-1024,6,-333,204,138,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:54.850,11.42,3.80,10001,92,4.9,0.6,2,-9,12,-1024,6,-333,204,138,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:54.950,11.42,3.80,20001,92,4.9,0.5,2,-9,11,-1024,6,-333,204,138,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:55.050,11.41,3.80,20001,92,4.9,0.4,2,-9,11,-1024,6,-333,204,138,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:55.150,11.41,3.80,30001,92,4.9,0.3,2,-9,11,-1024,4,-334,204,137,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:55.250,11.41,3.80,30001,92,4.9,0.3,2,-9,11,-1024,6,-333,204,138,0,0,-4,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:55.350,11.41,3.80,20005,92,4.9,0.4,2,-9,12,-1024,6,-334,204,138,0,0,-4,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:55.450,11.38,3.79,20005,92,4.9,0.3,2,-9,12,-1024,6,-333,204,138,0,0,-4,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:55.550,11.38,3.79,30005,92,4.9,0.5,2,-9,11,-1024,4,-334,204,138,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:41:55.650,11.38,3.79,10005,92,4.9,0.5,2,-9,12,-1024,4,-333,204,138,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:42:06.140,11.34,3.78,20001,92,4.9,0.7,4,-9,11,-1024,4,-333,204,137,0,0,-4,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:42:06.230,11.35,3.78,20001,92,4.9,0.5,4,-9,11,-1024,6,-334,204,138,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
2019-09-21,11:42:06.330,11.37,3.78,30001,92,4.9,0.5,4,-9,12,-1024,4,-334,204,138,0,0,-4,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.3
