Date,Time,VFAS(V),Curr(A),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-05-28,21:59:03.250,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:03.350,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:03.450,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:03.560,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:03.670,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:03.770,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:03.880,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:03.990,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:07.910,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.010,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.120,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.220,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.330,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.440,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.550,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.650,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,21:59:08.760,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,109,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.150,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.250,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.350,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.460,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.570,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.670,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.770,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.880,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:09.990,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:10.100,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:10.200,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:10.310,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:16:10.410,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,-206,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:46.880,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:46.990,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:47.100,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:47.210,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:47.320,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:47.430,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:59.040,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:59.150,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:59.260,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:59.360,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:59.470,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:19:59.580,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:03.920,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.020,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.130,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.240,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.340,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.440,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.550,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.660,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.760,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.870,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:04.970,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:05.080,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:05.180,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:05.290,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:20:05.400,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,0,0,-1024,0,0,147,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-05-28,22:42:25.330,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:25.430,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:25.530,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:25.630,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:25.730,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:25.830,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:25.930,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:26.030,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-298,204,-10,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:26.130,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-10,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
2018-05-28,22:42:26.230,0.00,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.0,-9,12,-1024,7,-299,204,-9,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.5
