Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-10,00:05:38.010,15.10,3.77,30001,88,5.1,-6,14,-1024,4,31,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.4
2018-07-10,00:05:38.050,15.10,3.77,10005,88,5.1,-7,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.4
2018-07-10,00:05:38.190,15.10,3.77,20005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.4
2018-07-10,00:05:38.290,15.10,3.77,10005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.4
2018-07-10,00:05:38.390,15.10,3.80,20005,89,5.1,-6,14,-1024,4,31,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:38.490,15.20,3.80,30005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:38.590,15.20,3.80,10005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:38.690,15.20,3.77,30005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:38.790,15.20,3.77,10005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:38.890,15.20,3.77,20005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:38.990,15.20,3.77,30005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.090,15.20,3.77,10005,89,5.1,-6,14,-1024,4,30,-205,-24,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.190,15.10,3.77,20005,89,5.1,-6,14,-1024,4,30,-205,-24,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.290,15.10,3.77,10005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.390,15.10,3.77,20005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.490,15.10,3.77,30005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.590,15.10,3.77,10005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.690,15.10,3.77,20005,89,5.1,-6,14,-1024,4,30,-205,-24,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
2018-07-10,00:05:39.790,15.10,3.77,30005,89,5.1,-6,14,-1024,4,30,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.4
