Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-08-08,20:56:08.550,15.30,0.00,20005,91,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:08.630,15.30,0.00,10005,91,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:08.730,15.30,0.00,20005,91,4.9,0.0,0,0,14,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:08.830,15.30,0.00,10005,91,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-3,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:08.930,15.30,0.00,30005,88,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.030,15.30,0.00,20005,88,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.130,15.30,0.00,10005,88,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.230,15.30,0.00,30005,88,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.330,15.30,0.00,20005,88,4.9,0.0,0,0,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.430,15.30,0.00,30005,88,4.9,0.0,0,0,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.530,15.30,0.00,20005,88,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.630,15.30,0.00,10005,88,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.730,15.30,0.00,30005,88,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.830,15.30,0.00,10005,91,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-08-08,20:56:09.930,15.30,0.00,30005,91,4.9,0.0,0,-1,12,-1024,3,1024,204,-6,-1,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
