Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-09-18,22:15:01.230,0.00,0.00,20002,90,4.6,0.0,0,-9,11,-1024,7,-504,204,-2,0,0,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000900,7.5
2019-09-18,22:15:02.040,0.00,0.00,10002,92,4.6,0.0,0,-10,11,-1024,7,-505,204,-1,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:02.120,0.00,0.00,20002,92,4.6,0.0,0,-10,11,-1024,7,-504,204,-1,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:03.590,0.00,0.00,10002,88,4.6,0.0,0,-9,9,-1024,7,-505,204,-2,0,0,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000900,7.5
2019-09-18,22:15:04.610,0.00,0.00,20002,88,4.6,0.0,0,-9,11,-1024,6,-504,204,-2,0,0,-4,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:04.690,0.00,0.00,30002,88,4.6,0.0,0,-9,11,-1024,7,-504,204,-2,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:04.790,0.00,0.00,30002,88,4.6,0.0,0,-9,9,-1024,7,-505,204,-2,0,0,-4,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:04.890,0.00,0.00,10002,88,4.6,0.0,0,-9,9,-1024,7,-505,204,-2,0,0,-4,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:04.990,0.00,0.00,10002,88,4.6,0.0,0,-9,11,-1024,7,-505,204,-2,0,0,-4,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.090,0.00,0.00,10002,89,4.6,0.0,0,-9,11,-1024,6,-505,204,-2,0,0,-4,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.190,0.00,0.00,30002,89,4.6,0.0,0,-9,11,-1024,7,-505,204,-2,0,0,-4,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.290,0.00,0.00,10002,89,4.6,0.0,0,-10,11,-1024,6,-504,204,-2,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.390,0.00,0.00,20002,89,4.6,0.0,0,-10,11,-1024,6,-504,204,-2,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.490,0.00,0.00,20002,88,4.6,0.0,0,-9,11,-1024,6,-504,204,-2,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.590,0.00,0.00,30002,88,4.6,0.0,0,-10,11,-1024,6,-505,204,-2,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.690,0.00,0.00,10002,88,4.6,0.0,0,-9,11,-1024,7,-504,204,-2,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.790,0.00,0.00,20002,88,4.6,0.0,0,-9,11,-1024,7,-505,204,-2,0,0,-3,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2019-09-18,22:15:05.930,0.00,0.00,20002,88,4.6,0.0,0,-9,11,-1024,7,-505,204,-2,0,0,-4,-1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
