Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-17,19:39:59.050,22.24,3.70,10002,81,4.8,0.0,0,-10,9,-1024,7,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.070,22.24,3.70,10002,81,4.8,0.0,0,-9,9,-1024,7,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.170,22.23,3.70,20002,81,4.8,0.0,0,-10,9,-1024,7,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.270,22.23,3.70,30001,81,4.8,0.0,0,-10,9,-1024,7,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.370,22.23,3.70,10005,80,4.8,0.0,0,-9,9,-1024,7,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.470,22.22,3.70,10005,80,4.8,0.0,0,-9,9,-1024,7,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.570,22.23,3.70,20005,80,4.8,0.0,0,-9,9,-1024,7,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.670,22.23,3.70,30005,80,4.8,0.0,0,-9,9,-1024,7,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.770,22.23,3.70,30005,80,4.8,0.0,0,-10,9,-1024,7,-572,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.870,22.20,3.70,10005,80,4.8,0.0,0,-10,9,-1024,7,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:39:59.970,22.19,3.70,20005,80,4.8,0.0,0,-10,9,-1024,7,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.070,22.19,3.70,30005,80,4.8,0.0,0,-10,9,-1024,7,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.170,22.20,3.70,30005,80,4.8,0.0,0,-10,106,-1024,-559,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.290,22.20,3.70,10005,81,4.8,0.0,0,-10,14,-1024,-733,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.390,22.20,3.70,20005,81,4.8,0.0,0,-10,12,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.490,22.20,3.70,30005,81,4.8,0.0,0,-10,11,-1024,13,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.590,22.20,3.70,30005,81,4.8,0.0,0,-10,11,-1024,1024,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.690,22.07,3.70,10005,81,4.8,0.0,0,-10,9,-1024,1024,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.790,22.07,3.67,20005,81,4.8,0.0,0,-10,9,-1024,12,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.890,22.07,3.71,20005,81,4.8,0.0,0,-9,9,-1024,10,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:00.990,22.25,3.70,30005,81,4.8,0.0,0,-10,1019,-1024,-46,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.090,22.25,3.70,10005,82,4.8,0.0,0,-10,557,-1024,6,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.190,22.07,3.67,20005,82,4.8,0.0,0,-10,11,-1024,7,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.290,22.06,3.67,20005,82,4.8,0.0,0,-10,11,-1024,7,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.390,22.07,3.65,30005,82,4.8,0.0,0,-10,-724,-1024,7,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.490,21.90,3.65,10005,82,4.8,0.0,0,-10,-1007,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.590,21.90,3.65,10005,80,4.8,0.0,0,-10,1,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.690,21.97,3.66,20005,80,4.8,0.0,0,-10,4,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.790,22.03,3.66,30005,80,4.8,0.0,0,-10,-1007,-1024,7,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.890,22.03,3.67,10005,80,4.8,0.0,0,-9,-74,-1024,7,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:01.990,21.95,3.65,10005,81,4.8,0.0,0,-10,4,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.090,21.98,3.66,20005,81,4.8,0.0,0,-10,6,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.190,21.98,3.66,30005,81,4.8,0.0,0,-10,8,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.290,21.87,3.64,10005,81,4.8,0.0,0,-10,8,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.390,22.02,3.67,10005,81,4.8,0.0,0,-10,249,-1024,7,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.490,22.02,3.67,20005,80,4.8,0.0,0,-10,1020,-1024,16,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.590,22.07,3.67,20005,80,4.8,0.0,0,-10,137,-1024,12,-573,-1024,-1024,0,0,558,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.690,22.10,3.68,30005,80,4.8,0.0,0,-10,11,-1024,10,-572,-1024,-1024,0,0,558,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.790,22.13,3.69,30005,80,4.8,0.0,0,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.890,22.13,3.69,20005,80,4.8,0.0,0,-10,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:02.990,22.19,3.69,30005,80,4.8,0.0,0,-10,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:03.090,22.21,3.70,30005,80,4.8,0.0,0,-9,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:03.190,22.20,3.70,10005,80,4.8,0.0,0,-9,11,-1024,9,-572,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:03.290,22.20,3.70,20005,82,4.8,0.0,0,-9,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:03.390,22.19,3.69,20005,82,4.8,0.0,0,-9,9,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:03.490,22.19,3.69,30005,82,4.8,0.0,0,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:03.590,22.19,3.69,10005,82,4.8,0.0,0,-10,9,-1024,7,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:34.430,22.23,3.70,10002,80,4.8,0.0,0,0.00,51,-10,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:34.490,22.23,3.70,10002,80,4.8,0.0,0,0.00,51,-10,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:34.590,22.23,3.70,20002,80,4.8,0.0,0,0.00,51,-10,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:34.690,22.23,3.70,20002,80,4.8,0.0,0,0.00,51,-10,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:34.790,22.21,3.70,30002,80,4.8,0.0,0,0.00,51,-10,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:34.890,22.23,3.70,10002,80,4.8,0.0,0,0.00,51,-10,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:34.990,22.23,3.70,10002,80,4.8,0.0,0,0.00,51,-10,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:35.090,22.23,3.70,10002,80,4.8,0.0,0,0.00,51,-9,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:35.190,22.22,3.70,30002,80,4.8,0.0,0,0.00,51,-9,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:35.290,22.22,3.70,10002,80,4.8,0.0,0,0.00,51,-9,11,-1024,9,-572,-1024,-1024,0,0,556,652,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.050,22.18,3.69,30002,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.130,22.18,3.69,10002,80,4.8,0.0,0,0.00,52,-10,11,-1024,7,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.230,22.18,3.69,10002,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.330,22.18,3.69,20001,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.430,22.18,3.69,30001,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.530,22.18,3.69,30001,81,4.8,0.0,0,0.00,52,-9,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.630,22.19,3.69,10005,81,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.730,22.17,3.69,20005,81,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.830,22.17,3.69,30005,81,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:38.930,22.17,3.69,30005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.030,22.17,3.69,10005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,556,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.130,22.17,3.69,20005,80,4.8,0.0,0,0.00,52,-9,9,-1024,9,-573,-1024,-1024,0,0,556,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.230,22.17,3.69,20005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,556,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.330,22.17,3.69,30005,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.430,22.17,3.69,10005,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.530,22.17,3.69,20005,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.630,22.17,3.69,20005,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.730,22.17,3.69,30005,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.830,22.17,3.69,10005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:39.930,22.16,3.69,20005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.030,22.16,3.69,20005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.130,22.16,3.69,30005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.230,22.16,3.69,10005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.330,22.16,3.69,10005,80,4.8,0.0,0,0.00,52,-9,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.430,22.15,3.69,20005,80,4.8,0.0,0,0.00,52,-10,11,-1024,7,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.530,22.16,3.69,30005,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.630,22.16,3.69,10005,80,4.8,0.0,0,0.00,52,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.730,22.17,3.69,10005,80,4.8,0.0,0,0.00,53,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.830,22.17,3.69,10005,80,4.8,0.0,0,0.00,53,-10,11,-1024,9,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:40.930,22.16,3.69,30005,80,4.8,0.0,0,0.00,53,-10,11,-1024,7,-572,-1024,-1024,0,0,557,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:41.030,22.16,3.69,10005,80,4.8,0.0,0,0.00,53,-9,11,-1024,9,-573,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:41.130,22.15,3.69,10005,80,4.8,0.0,0,0.00,53,-9,11,-1024,9,-572,-1024,-1024,0,0,556,652,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:59.550,22.17,3.69,30002,80,4.8,0.0,0,0.00,55,-10,11,-1024,9,-573,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:59.630,22.17,3.69,30002,80,4.8,0.0,0,0.00,55,-10,11,-1024,7,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-10-17,19:40:59.730,22.17,3.69,10002,80,4.8,0.0,0,0.00,56,-10,11,-1024,9,-572,-1024,-1024,0,0,557,651,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
