Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-20,19:55:50.640,22.41,3.73,20002,96,4.9,0.0,0,0.00,45,-12,9,-1024,6,-1024,204,-1024,0,0,60,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:50.670,22.41,3.73,20002,96,4.9,0.0,0,0.00,45,-12,9,-1024,6,-1024,204,-1024,0,0,60,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:50.770,22.41,3.73,20002,96,4.9,0.0,0,0.00,45,-12,9,-1024,7,-1024,204,-1024,0,0,59,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:50.870,22.41,3.73,30001,96,4.9,0.0,0,0.00,45,-12,9,-1024,7,-1024,204,-1024,0,0,58,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:50.970,22.41,3.73,10005,96,4.9,0.0,0,0.00,45,-10,9,-1024,7,-1024,204,-1024,0,0,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:51.070,22.40,3.73,20005,96,4.9,0.0,0,0.00,45,-10,9,-1024,7,-1024,204,-1024,0,0,58,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:51.170,22.40,3.73,20005,96,4.9,0.0,0,0.00,45,-10,9,-1024,6,-1024,204,-1024,0,0,58,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:51.270,22.40,3.73,30005,96,4.9,0.0,0,0.00,45,-10,9,-1024,6,-1024,204,-1024,0,0,58,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:51.390,22.40,3.73,10005,96,4.9,0.0,0,0.00,45,-12,9,-1024,6,-1024,204,-1024,0,0,58,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:51.490,22.40,3.73,20005,96,4.9,0.0,0,0.00,45,-12,9,-1024,6,-1024,204,-1024,0,0,58,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2019-10-20,19:55:51.590,22.40,3.73,30005,96,4.9,0.0,0,0.00,45,-12,9,-1024,7,-1024,204,-1024,0,0,58,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
