Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-06,22:49:52.240,0,4.90,0.0,-0.14,-0.07,1.14,20002,101,4.7,0.00,0.00,0.0,-6,14,-1024,4,-566,-205,-3,-3,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000002160,7.2
2018-07-06,22:49:52.280,0,4.90,0.0,-0.14,-0.07,1.14,30002,101,4.7,0.00,0.00,0.0,-6,14,-1024,4,-566,-205,-3,-3,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000002160,7.2
2018-07-06,22:49:52.380,0,4.90,0.0,-0.14,-0.07,1.14,30002,101,4.7,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-3,-3,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000002160,7.2
2018-07-06,22:49:52.480,0,4.90,0.0,-0.14,-0.07,1.14,10002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-3,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000002160,7.2
2018-07-06,22:49:52.580,0,4.90,0.0,-0.14,-0.07,1.14,10002,100,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000002160,7.2
2018-07-06,22:49:52.680,0,5.00,0.0,-0.14,-0.07,1.14,20002,100,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:55.090,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000060,7.2
2018-07-06,22:49:55.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000060,7.2
2018-07-06,22:49:55.280,0,5.10,0.0,-0.14,-0.07,1.14,0,100,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000002160,7.2
2018-07-06,22:49:55.380,0,5.10,0.0,-0.14,-0.07,1.14,20002,100,4.7,0.00,0.00,0.0,-6,14,-1024,4,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:55.480,0,5.10,0.0,-0.14,-0.07,1.14,20002,100,4.7,0.00,0.00,0.0,-6,14,-1024,4,-566,-205,-3,0,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:55.580,0,5.10,0.0,-0.14,-0.07,1.14,30002,100,4.7,0.00,0.00,0.0,-6,14,-1024,4,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:55.680,0,5.10,0.0,-0.14,-0.07,1.14,30002,100,4.7,0.00,0.00,0.0,-7,14,-1024,4,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:55.780,0,5.10,0.0,-0.14,-0.07,1.14,10002,100,4.7,0.00,0.00,0.0,-7,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:55.880,0,5.10,0.0,-0.14,-0.07,1.14,10002,100,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:55.980,0,5.10,0.0,-0.14,-0.07,1.14,20002,100,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:49:56.080,0,5.10,0.0,-0.14,-0.07,1.14,20002,101,4.7,0.00,0.00,0.0,-6,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,7.2
2018-07-06,22:52:13.480,6,0.00,0.0,0.00,0.00,0.00,30001,96,5.0,3.80,15.20,0.5,-3,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000004260,7.2
2018-07-06,22:52:13.580,6,0.00,0.0,0.00,0.00,0.00,10005,96,5.0,3.80,15.20,0.5,-3,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000004260,7.2
2018-07-06,22:52:13.680,6,0.00,0.0,0.00,0.00,0.00,10005,96,5.0,3.80,15.20,0.5,-3,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000004260,7.2
2018-07-06,22:52:13.780,6,0.00,0.0,0.00,0.00,0.00,20005,96,5.0,3.80,15.20,0.6,-3,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000004260,7.2
2018-07-06,22:52:13.880,6,0.00,0.0,0.00,0.00,0.00,30005,96,5.0,3.80,15.20,0.8,-3,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000004260,7.2
2018-07-06,22:52:13.980,6,0.00,0.0,0.00,0.00,0.00,10005,96,5.0,3.80,15.20,0.8,-3,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000004260,7.2
2018-07-06,22:52:15.850,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-4,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000060,7.2
2018-07-06,22:52:15.930,0,0.00,0.0,0.00,0.00,0.00,20005,96,5.0,3.80,15.20,0.0,-3,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000004260,7.2
2018-07-06,22:52:16.030,6,0.00,0.0,0.00,0.00,0.00,30005,96,5.0,3.80,15.30,0.5,-3,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004260,7.2
2018-07-06,22:52:16.130,6,0.00,0.0,0.00,0.00,0.00,10005,96,5.0,3.82,15.30,0.5,-3,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.2
2018-07-06,22:52:16.230,6,0.00,0.0,0.00,0.00,0.00,10005,96,5.0,3.80,15.30,0.8,-3,14,-1024,3,-566,-205,-3,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.2
2018-07-06,22:52:16.330,6,0.00,0.0,0.00,0.00,0.00,20005,93,5.0,3.80,15.20,0.8,-3,14,-1024,4,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.2
2018-07-06,22:52:16.430,6,0.00,0.0,0.00,0.00,0.00,30005,93,5.0,3.80,15.20,0.9,-3,14,-1024,3,-566,-205,-4,-1,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.2
