Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-06,20:31:53.720,23,347.90,6.7,0.01,0.02,0.98,20005,88,4.9,3.75,15.00,0.3,-4,14,-1024,7,834,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:53.810,23,347.90,6.7,0.01,0.02,0.98,30005,88,4.9,3.75,15.00,0.3,-4,14,-1024,7,834,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:53.910,23,347.90,6.7,0.01,0.02,0.98,30005,88,4.9,3.75,15.00,0.5,-4,14,-1024,7,834,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:54.010,23,347.90,6.7,0.01,0.02,0.98,30005,81,4.9,3.75,15.00,0.5,-4,14,-1024,6,834,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:54.110,23,347.90,6.7,0.01,0.02,0.98,10005,81,4.9,3.75,15.00,0.3,-4,14,-1024,6,834,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:54.210,23,347.80,6.7,0.01,0.02,0.98,10005,81,4.9,3.75,15.00,0.3,-4,14,-1024,7,834,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:54.310,23,347.80,6.7,0.01,0.02,0.98,20005,81,4.9,3.77,15.10,0.3,-4,14,-1024,7,834,204,62,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:54.410,23,347.80,6.7,0.01,0.02,0.98,20005,91,4.9,3.77,15.10,0.3,-4,14,-1024,7,834,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.0
2018-06-06,20:31:54.510,23,347.80,6.7,0.01,0.02,0.98,30005,91,4.9,3.77,15.10,0.3,-4,14,65,7,834,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.0
2018-06-06,20:31:54.610,23,347.70,6.7,0.01,0.02,0.98,30005,91,4.9,3.77,15.10,0.5,100,14,1024,7,834,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.0
