Date,Time,VFAS(V),Curr(A),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-09,09:58:43.890,16.80,0.0,0,0.00,0.00,0.00,0.00,10005,4.20,75,5.1,-7,14,-928,7,1024,204,63,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:43.930,16.80,0.0,0,0.00,0.00,0.00,0.00,20005,4.20,75,5.1,-7,14,-928,9,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.070,16.80,0.0,0,0.00,0.00,0.00,0.00,30005,4.20,75,5.1,-6,14,-928,9,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.170,16.80,0.0,0,0.00,0.00,0.00,0.00,30005,4.20,77,5.1,-7,14,-928,7,1024,204,62,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.280,16.80,0.0,0,0.00,0.00,0.00,0.00,10005,4.20,77,5.1,-6,14,-928,7,1024,204,62,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.380,16.80,0.0,0,0.00,0.00,0.00,0.00,10005,4.20,77,5.1,-6,40,-928,-170,1024,204,62,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.520,16.80,0.0,0,0.00,0.00,0.00,0.00,20005,4.20,77,5.1,-6,22,-928,-188,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.620,16.80,0.0,0,0.00,0.00,0.00,0.00,30005,4.20,79,5.1,-7,19,-928,6,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.730,16.80,0.8,0,0.00,0.00,0.00,0.00,10005,4.20,79,5.1,-7,16,-877,7,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.830,16.80,0.4,0,0.00,0.00,0.00,0.00,10005,4.20,79,5.1,-9,16,-682,7,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:44.970,16.80,0.5,0,0.00,0.00,0.00,0.00,20005,4.20,79,5.1,-12,61,-527,6,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.070,16.80,0.5,0,0.00,0.00,0.00,0.00,30005,4.20,81,5.1,-16,22,-527,6,1024,204,63,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.180,16.80,5.0,0,0.00,0.00,0.00,0.00,30005,4.20,81,5.1,-32,37,-528,50,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.280,16.70,4.2,0,0.00,0.00,0.00,0.00,10005,4.17,81,5.1,-12,80,-528,105,1024,204,63,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.420,16.70,4.3,0,0.00,0.00,0.00,0.00,20005,4.17,81,5.1,-12,96,-496,73,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.520,16.70,4.3,0,0.00,0.00,0.00,0.00,20005,4.17,83,5.1,-13,167,-554,88,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.630,16.70,4.3,0,0.00,0.00,0.00,0.00,30005,4.17,83,5.1,-92,117,596,16,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.730,16.70,4.3,0,0.00,0.00,0.00,0.00,10005,4.17,83,5.1,20,203,-357,12,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:45.870,16.70,50.8,0,0.00,0.00,0.00,0.00,20005,4.12,83,5.1,-52,166,-1024,9,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-09,09:58:45.970,16.50,22.4,2,0.00,0.00,0.00,0.00,20005,4.12,78,5.0,-7,127,-1020,9,1024,204,62,-3,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:46.080,16.40,0.0,4,0.00,0.00,0.00,0.00,30005,4.10,78,5.0,-7,104,-576,9,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:46.180,16.40,0.0,4,0.00,0.00,0.00,0.00,10005,4.10,78,5.0,-52,80,-530,9,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:46.320,16.40,5.0,4,0.00,0.00,0.00,0.00,10005,4.10,78,5.0,-101,40,-1024,7,1024,204,63,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-09,09:58:46.420,16.30,8.1,4,0.00,0.00,0.00,0.00,20005,4.07,82,5.0,-9,25,-1012,7,1024,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:46.530,16.30,8.1,4,0.00,0.00,0.00,0.00,30005,4.07,82,5.0,-147,19,604,7,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:46.630,16.30,0.0,4,0.00,0.00,0.00,0.00,30005,4.07,82,5.0,-15,17,57,-7,1024,204,62,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:46.770,16.20,42.7,5,0.00,0.00,0.00,0.00,10005,4.05,82,5.0,-97,16,-1024,3,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-09,09:58:46.870,16.20,42.7,5,0.00,0.00,0.00,0.00,20005,4.02,80,5.0,-26,16,-1024,4,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-09,09:58:46.980,16.10,27.6,7,0.00,0.00,0.00,0.00,30005,4.02,80,5.0,-6,-100,-1024,6,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-09,09:58:47.080,16.10,0.0,8,0.00,0.00,0.00,0.00,30005,4.02,80,5.0,-7,-498,-1003,7,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:47.220,16.10,2.2,8,0.00,0.00,0.00,0.00,10005,4.02,72,5.0,-10,-365,-995,-27,1024,204,62,-3,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:47.320,16.10,2.2,8,0.00,0.00,0.00,0.00,20005,4.02,72,5.0,-10,-53,-993,0,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
2018-06-09,09:58:47.430,16.10,4.2,8,0.00,0.00,0.00,0.00,20005,4.02,72,5.0,-9,-10,-990,3,1024,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.2
