Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-04-05,19:59:37.650,24.10,4.01,20002,99,5.1,0.3,0,-18,12,-1024,12,-12,204,1024,26,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:37.710,24.10,4.01,10002,99,5.1,0.3,0,-18,12,-1024,12,-12,204,1024,26,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:37.850,24.00,4.00,20001,99,5.1,0.3,0,-20,12,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:37.950,24.00,4.00,30001,100,5.1,0.4,0,-18,12,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.050,23.90,4.00,10005,100,5.1,0.4,0,-18,12,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.150,23.90,3.98,20005,100,5.1,0.5,0,-18,12,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.250,23.90,3.98,30005,100,5.1,0.5,0,-18,12,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.350,23.90,3.98,10005,101,5.1,0.5,0,-18,12,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.450,23.90,3.96,20005,101,5.1,0.5,0,-18,12,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.550,23.80,3.96,30005,101,5.1,0.5,0,-18,33,-1024,12,-12,204,1024,28,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.650,23.80,3.96,30005,101,5.1,0.4,0,-18,764,-1024,12,-12,204,1024,26,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
2019-04-05,19:59:38.750,23.80,3.96,10005,100,5.1,0.4,0,-18,1024,-1024,-69,-12,204,1024,26,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.7
