Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-28,17:33:49.590,8,0.00,6.7,0.00,0.00,0.00,10001,84,4.9,4.05,16.20,0.3,-6,16,-1024,6,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:49.630,8,0.00,6.7,0.00,0.00,0.00,10001,84,4.9,4.05,16.20,0.3,-6,16,-1024,6,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:49.770,8,0.00,6.7,0.00,0.00,0.00,30001,84,4.9,4.05,16.20,0.3,-7,16,-1024,6,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:49.870,8,0.00,6.7,0.00,0.00,0.00,30001,81,4.9,4.05,16.20,0.2,-6,16,-1024,4,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:49.970,8,0.00,6.7,0.00,0.00,0.00,20001,81,4.9,4.05,16.20,0.1,-7,16,-1024,4,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:50.070,8,0.00,6.7,0.00,0.00,0.00,10001,81,4.9,4.05,16.20,0.1,-6,16,-1022,6,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.3
2018-06-28,17:33:50.280,8,0.00,6.7,0.00,0.00,0.00,10001,81,4.9,4.05,16.20,0.1,-6,16,-1024,6,-464,-205,-4,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:50.380,8,0.00,6.7,0.00,0.00,0.00,20001,83,4.9,4.05,16.20,0.1,-6,16,-1024,6,-464,-205,-4,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:50.480,8,0.00,6.7,0.00,0.00,0.00,30001,83,4.9,4.05,16.20,0.1,-6,16,-1024,6,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.3
2018-06-28,17:33:50.580,8,0.00,6.7,0.00,0.00,0.00,10001,83,4.9,4.05,16.20,0.2,-6,16,-1022,6,-464,-205,-3,-1024,494,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,8.3
