Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-08,00:36:00.320,15.20,3.80,20001,101,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:00.350,15.20,3.80,30001,101,4.9,-7,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:00.460,15.20,3.80,20005,101,4.9,-7,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:00.560,15.20,3.80,10005,101,4.9,-7,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:00.660,15.20,3.80,10005,101,4.9,-7,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:00.760,15.20,3.80,10005,101,4.9,-7,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:00.860,15.20,3.80,20005,101,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:00.960,15.20,3.80,10005,101,4.9,-7,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:01.060,15.20,3.80,30005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:01.160,15.20,3.80,20005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:01.260,15.20,3.80,10005,101,4.9,-7,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:01.360,15.20,3.80,20005,101,4.9,-7,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:01.460,15.20,3.80,10005,101,4.9,-7,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:01.560,15.20,3.80,30005,101,4.9,-6,12,-603,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:01.660,15.20,3.80,20005,101,4.9,-7,12,-430,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:01.760,15.20,3.80,10005,101,4.9,-7,12,-304,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:01.860,15.10,3.77,30005,101,4.9,-7,12,-98,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:01.960,15.10,3.77,20005,101,4.9,-7,12,91,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:02.060,15.10,3.75,10005,101,4.9,-7,11,91,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:02.160,15.00,3.75,20005,101,4.9,-7,12,87,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:02.260,15.00,3.75,10005,101,4.9,-7,12,-52,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:02.360,14.90,3.72,30005,101,4.9,-6,11,-423,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.6
2018-07-08,00:36:23.080,15.20,3.80,10001,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.170,15.20,3.80,30005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.270,15.20,3.80,20005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.370,15.20,3.80,30005,101,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.470,15.20,3.80,20005,101,4.9,-7,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.570,15.20,3.80,10005,101,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.670,15.20,3.80,30005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.770,15.20,3.80,20005,101,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.870,15.20,3.80,10005,99,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:23.970,15.20,3.80,20005,99,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.6
2018-07-08,00:36:24.070,15.20,3.80,10005,99,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
