Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-12-08,22:05:07.940,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.030,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1017,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1017,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:08.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-1,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-1,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-1,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1017,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:09.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,22,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:10.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,3,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:11.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:12.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-1,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:13.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,4,1024,204,188,-1020,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-1,1,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:14.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,0,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-3,1,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,136,0,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,735,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.380,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,1,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.480,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.580,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.680,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,0,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.780,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.880,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,-1,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:15.980,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,-1,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:16.080,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,1024,0,-1024,4,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:16.180,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,619,0,-1024,6,1024,204,188,-1019,0,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:16.280,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-1,0,-1024,6,1024,204,188,-1019,1,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
2017-12-08,22:05:16.440,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-1,0,-1024,6,1024,204,188,-1019,1,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.2
