Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-12-09,00:04:41.060,0,0.00,10.1,0.00,0.00,0.00,20001,77,4.5,4.12,16.50,0.0,-4,-1,-1024,7,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:41.140,0,0.00,10.1,0.00,0.00,0.00,20001,77,4.5,4.12,16.50,0.0,-4,-1,-1024,6,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:41.240,0,0.00,10.1,0.00,0.00,0.00,20001,77,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:41.350,0,0.00,10.1,0.00,0.00,0.00,30001,76,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,172,-984,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:41.500,0,0.00,10.1,0.00,0.00,0.00,10001,76,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:41.600,0,0.00,10.1,0.00,0.00,0.00,10001,76,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:41.750,0,0.00,10.1,0.00,0.00,0.00,20001,78,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:41.850,0,0.00,10.1,0.00,0.00,0.00,20001,78,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.000,0,0.00,10.1,0.00,0.00,0.00,30001,78,4.5,4.12,16.50,0.0,-3,51,-1024,6,1024,1023,172,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.100,0,0.00,10.1,0.00,0.00,0.00,30001,78,4.5,4.12,16.50,0.0,-3,0,-1024,6,1024,1023,172,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.200,0,0.00,10.1,0.00,0.00,0.00,10001,78,4.5,4.12,16.50,0.0,-4,0,-1024,24,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.300,0,0.00,10.1,0.00,0.00,0.00,10001,78,4.5,4.12,16.50,0.0,-4,-117,-1024,21,1024,1023,172,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.440,0,0.00,10.1,0.00,0.00,0.00,20001,78,4.5,4.12,16.50,0.0,-3,-7,-1024,12,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.540,0,0.00,10.1,0.00,0.00,0.00,20001,78,4.5,4.12,16.50,0.0,-3,-4,-1024,10,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.650,0,0.00,10.1,0.00,0.00,0.00,30001,80,4.5,4.12,16.50,0.0,-3,-3,-1024,9,1024,1023,173,-984,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.750,0,0.00,10.1,0.00,0.00,0.00,30001,80,4.5,4.12,16.50,0.0,-3,-1,-1024,9,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.890,0,0.00,10.1,0.00,0.00,0.00,10001,80,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:42.990,0,0.00,10.1,0.00,0.00,0.00,20001,80,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.100,0,0.00,10.1,0.00,0.00,0.00,20001,82,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.200,0,0.00,10.1,0.00,0.00,0.00,20001,82,4.5,4.12,16.50,0.0,466,-1,-1024,7,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.340,0,0.00,10.1,0.00,0.00,0.00,30001,82,4.5,4.12,16.50,0.0,1024,-1,-1024,7,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.440,0,0.00,10.1,0.00,0.00,0.00,10001,82,4.5,4.12,16.50,0.0,1024,-1,-1024,7,1024,1023,172,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.550,0,0.00,10.1,0.00,0.00,0.00,10001,81,4.5,4.12,16.50,0.0,1024,-21,-1024,6,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.650,0,0.00,10.1,0.00,0.00,0.00,20005,81,4.5,4.12,16.50,0.0,1024,-3,-1024,7,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.790,0,0.00,10.1,0.00,0.00,0.00,20005,81,4.5,4.12,16.50,0.0,1024,-3,-1024,7,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:43.890,0,0.00,10.1,0.00,0.00,0.00,30005,82,4.5,4.12,16.50,0.0,1024,-3,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:44.000,0,0.00,10.1,0.00,0.00,0.00,30005,82,4.5,4.12,16.50,0.0,453,-1,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:44.100,0,0.00,10.1,0.00,0.00,0.00,10005,82,4.5,4.12,16.50,0.0,-3,-1,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:44.240,0,0.00,10.1,0.00,0.00,0.00,10005,82,4.5,4.10,16.40,0.0,-3,0,-1024,7,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.8
2017-12-09,00:04:44.340,0,0.00,10.1,0.00,0.00,0.00,20005,81,4.5,4.10,16.40,0.0,-3,40,-847,7,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:44.450,0,0.00,10.1,0.00,0.00,0.00,20005,81,4.5,4.10,16.40,0.0,-3,62,-779,7,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:44.550,0,0.00,10.1,0.00,0.00,0.00,30005,81,4.5,4.10,16.40,0.0,-3,66,-784,7,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:44.690,0,0.00,10.1,0.00,0.00,0.00,30005,81,4.5,4.10,16.40,0.0,-4,56,-785,6,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:44.790,0,0.00,10.1,0.00,0.00,0.00,10005,77,4.5,4.07,16.40,0.0,-4,49,-550,6,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:44.900,0,0.00,10.1,0.00,0.00,0.00,10005,77,4.5,4.07,16.30,0.0,-3,48,-382,6,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.000,0,0.00,10.1,0.00,0.00,0.00,20005,77,4.5,4.05,16.20,0.0,-3,161,-400,6,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.140,0,0.00,10.1,0.00,0.00,0.00,20005,77,4.5,4.05,16.20,0.0,-1,204,-428,-34,1024,1023,172,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.240,0,0.00,10.1,0.00,0.00,0.00,30005,74,4.5,4.02,16.10,0.0,-4,178,-476,-73,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.350,0,0.00,10.1,0.00,0.00,0.00,30005,74,4.5,4.02,16.10,0.0,-6,111,-528,-205,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.450,0,0.00,10.1,0.00,0.00,0.00,10005,74,4.5,3.97,15.90,0.0,-6,49,-530,-231,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.590,0,0.00,10.1,0.00,0.00,0.00,20005,74,4.5,3.97,15.90,0.0,-50,38,-476,-226,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.690,0,0.00,10.1,0.00,0.00,0.00,20005,76,4.5,3.95,15.80,0.0,-47,1,-473,-192,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.800,0,0.00,10.1,0.00,0.00,0.00,30005,76,4.5,3.95,15.80,0.0,-7,1,-450,-96,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:45.900,0,0.00,10.1,0.00,0.00,0.00,30005,76,4.5,3.90,15.60,0.0,-6,0,-357,21,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.040,0,0.00,10.1,0.00,0.00,0.00,10005,76,4.5,3.90,15.60,0.0,-4,1,-484,42,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.140,0,0.00,10.1,0.00,0.00,0.00,10005,76,4.5,3.87,15.50,0.0,-3,1,-525,62,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.250,0,0.00,10.1,0.00,0.00,0.00,20005,76,4.5,3.87,15.50,0.0,55,0,-530,82,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.350,0,0.00,10.1,0.00,0.00,0.00,20005,76,4.5,3.85,15.40,0.0,99,0,-490,117,1024,1023,173,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.490,0,0.00,10.1,0.00,0.00,0.00,30005,76,4.5,3.82,15.30,0.0,153,0,-425,267,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.590,0,0.00,10.1,0.00,0.00,0.00,30005,72,4.5,3.82,15.30,0.0,190,-3,-425,322,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.700,0,0.00,10.1,0.00,0.00,0.00,10005,72,4.5,3.80,15.30,0.0,232,-23,-427,375,1024,1023,172,-984,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.800,0,0.00,10.1,0.00,0.00,0.00,10005,72,4.5,3.80,15.20,0.0,210,-26,-485,415,1024,1023,172,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:46.940,0,0.00,10.1,0.00,0.00,0.00,20005,72,4.5,3.77,15.10,0.0,206,-49,-525,444,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:47.040,0,0.00,10.1,0.00,0.00,0.00,20005,74,4.5,3.77,15.10,0.0,209,-90,-311,467,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:47.150,0,0.00,10.1,0.00,0.00,0.00,30005,74,4.5,3.77,15.10,0.0,181,-109,-230,467,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
2017-12-09,00:04:47.250,0,0.00,10.1,0.00,0.00,0.00,30005,74,4.5,3.77,15.10,0.0,109,-95,-225,316,1024,1023,173,-986,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004230,7.8
