Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-12-27,11:51:16.900,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,3,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:16.990,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,1,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.090,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,1,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.190,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,3,-1024,9,-351,204,187,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.290,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,1,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.390,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,3,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.490,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,3,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.590,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,3,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.690,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,3,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2017-12-27,11:51:17.790,0,0.00,0.0,0.00,0.00,0.00,0,0,0.0,0.00,0.00,0.0,-7,1,-1024,9,-351,204,188,-1024,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
