Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-11-23,23:34:39.760,-12,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:39.840,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:39.940,-12,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.040,-12,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.140,-13,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.240,-13,4,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.340,-13,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.440,-13,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.540,-13,6,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.640,-13,6,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.740,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:40.840,-13,6,-1024,12,-143,204,-23,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:41.600,-9,4,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:41.690,-10,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:41.790,-12,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:41.890,-12,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:41.990,-13,6,-1024,12,-143,204,-23,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.090,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.190,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.290,-13,6,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.390,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.490,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.590,-13,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.690,-13,4,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.790,-13,6,-1024,10,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.890,-13,6,-1024,10,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:42.990,-13,6,-1024,10,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.090,-13,6,-1024,10,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.190,-13,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.290,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.390,-13,29,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.490,-13,6,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.590,-13,66,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.690,-13,296,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.790,-13,288,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.890,-13,30,-1024,10,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:43.990,-13,4,-1024,12,-143,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
2018-11-23,23:34:44.090,-13,6,-1024,12,-144,204,-24,-1024,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,8.3
