Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-18,00:27:18.330,-10,9,-1024,9,-559,204,-1024,0,0,595,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:18.350,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:18.460,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:18.560,-12,9,-1024,7,-559,204,-1024,0,0,596,574,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:18.660,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:18.760,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:18.860,-12,9,-1024,7,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:18.980,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:19.080,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:19.180,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-10-18,00:27:19.280,-12,9,-1024,9,-559,204,-1024,0,0,596,576,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.9
