Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-23,20:32:26.730,0.00,0.00,0,95,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:26.760,0.00,0.00,0,95,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:26.860,0.00,0.00,0,92,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:26.960,0.00,0.00,0,92,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:27.060,0.00,0.00,0,92,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:27.160,0.00,0.00,0,92,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:27.260,0.00,0.00,0,97,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:27.360,0.00,0.00,0,97,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:29.770,0.00,0.00,0,101,0.0,0.0,0,0.00,0,-12,8,-1024,7,227,204,-1024,0,0,-1024,1007,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:29.850,0.00,0.00,0,101,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:29.950,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.050,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-13,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.150,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-13,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.250,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-13,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.350,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-13,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.450,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.550,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.650,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.750,0.00,0.00,0,103,0.0,0.0,0,0.00,0,-13,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.850,0.00,0.00,0,102,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:30.950,0.00,0.00,0,102,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:31.050,0.00,0.00,0,102,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:31.150,0.00,0.00,0,102,0.0,0.0,0,0.00,0,-12,8,-1024,9,227,204,-1024,0,0,-1024,1008,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:31.250,0.00,0.00,0,101,0.0,0.0,0,0.00,0,-13,8,-1024,7,227,204,-1024,0,0,-1024,1007,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:31.350,0.00,0.00,0,101,0.0,0.0,0,0.00,0,-12,6,-1024,7,228,204,-1024,0,0,-1024,1007,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2019-10-23,20:32:31.450,0.00,0.00,0,101,0.0,0.0,0,0.00,0,-12,8,-1024,9,228,204,-1024,0,0,-1024,1007,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
