Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-11-22,22:54:21.950,0,0.00,0.0,0.00,0.00,0.00,0,112,0.0,0.00,0.00,0.0,0,1,-1024,0,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.040,0,0.00,0.0,0.00,0.00,0.00,0,112,0.0,0.00,0.00,0.0,0,1,-1024,0,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.140,0,0.00,0.0,0.00,0.00,0.00,0,112,0.0,0.00,0.00,0.0,0,1,-1024,0,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.240,0,0.00,0.0,0.00,0.00,0.00,0,112,0.0,0.00,0.00,0.0,0,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.340,0,0.00,0.0,0.00,0.00,0.00,0,112,0.0,0.00,0.00,0.0,0,1,-1024,0,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.450,0,0.00,0.0,0.00,0.00,0.00,0,112,0.0,0.00,0.00,0.0,0,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.550,0,0.00,0.0,0.00,0.00,0.00,0,112,0.0,0.00,0.00,0.0,412,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.690,0,0.00,0.0,0.00,0.00,0.00,0,113,0.0,0.00,0.00,0.0,608,1,-1024,1,1024,204,-1,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.790,0,0.00,0.0,0.00,0.00,0.00,0,113,0.0,0.00,0.00,0.0,559,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:22.900,0,0.00,0.0,0.00,0.00,0.00,0,113,0.0,0.00,0.00,0.0,3,1,-1024,1,1024,204,-1,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.000,0,0.00,0.0,0.00,0.00,0.00,0,113,0.0,0.00,0.00,0.0,3,1,-1024,1,1024,204,-1,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.140,0,0.00,0.0,0.00,0.00,0.00,0,111,0.0,0.00,0.00,0.0,1024,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.240,0,0.00,0.0,0.00,0.00,0.00,0,111,0.0,0.00,0.00,0.0,1024,1,-1024,0,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.350,0,0.00,0.0,0.00,0.00,0.00,0,111,0.0,0.00,0.00,0.0,1024,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.450,0,0.00,0.0,0.00,0.00,0.00,0,111,0.0,0.00,0.00,0.0,1024,1,-1024,0,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.590,0,0.00,0.0,0.00,0.00,0.00,0,110,0.0,0.00,0.00,0.0,1024,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.690,0,0.00,0.0,0.00,0.00,0.00,0,110,0.0,0.00,0.00,0.0,1024,1,-1024,1,1024,204,0,-1008,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.800,0,0.00,0.0,0.00,0.00,0.00,0,110,0.0,0.00,0.00,0.0,1024,1,-1024,1,1024,204,-1,-1008,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:23.900,0,0.00,0.0,0.00,0.00,0.00,0,110,0.0,0.00,0.00,0.0,136,1,-1024,1,1024,204,-1,-1006,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
2017-11-22,22:54:24.040,0,0.00,0.0,0.00,0.00,0.00,0,108,0.0,0.00,0.00,0.0,4,1,-1024,1,1024,204,-1,-1006,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002120,8.1
