Date,Time,Fuel(%),Hdg(@),A2(V),AccX(g),AccY(g),AccZ(g),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),VFAS(V),Curr(A),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-12-20,20:07:51.920,0,0.00,10.8,0.00,0.00,0.00,30001,80,4.3,3.62,14.50,0.0,1,1,-1001,0,1024,204,-3,2,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.010,0,0.00,10.8,0.00,0.00,0.00,30001,80,4.3,3.62,14.50,0.0,1,1,-1001,0,1024,204,-3,2,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.110,0,0.00,10.8,0.00,0.00,0.00,10001,84,4.3,3.62,14.50,0.0,1,1,-1001,0,1024,204,-3,1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.210,0,0.00,10.8,0.00,0.00,0.00,20001,84,4.3,3.62,14.50,0.0,1,1,-1001,0,1024,204,-3,1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.320,0,0.00,10.8,0.00,0.00,0.00,20001,84,4.3,3.62,14.50,0.0,1,1,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.420,0,0.00,10.8,0.00,0.00,0.00,30001,84,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,-3,1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.520,0,0.00,10.8,0.00,0.00,0.00,30001,82,4.3,3.62,14.50,0.0,1,1,-1001,0,1024,204,-3,1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.620,0,0.00,10.8,0.00,0.00,0.00,10001,82,4.3,3.62,14.50,0.0,1,1,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:07:52.720,0,0.00,10.8,0.00,0.00,0.00,20001,82,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:07.270,0,0.00,10.8,0.00,0.00,0.00,10001,87,4.3,3.62,14.50,0.0,0,3,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:07.370,0,0.00,10.8,0.00,0.00,0.00,20001,87,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:07.470,0,0.00,10.8,0.00,0.00,0.00,20001,82,4.3,3.62,14.50,0.0,1,1,-1003,0,1024,204,-3,2,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:07.570,0,0.00,10.8,0.00,0.00,0.00,30001,82,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:07.670,0,0.00,10.8,0.00,0.00,0.00,10001,82,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:07.770,0,0.00,10.8,0.00,0.00,0.00,10001,82,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,-3,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:58.870,0,0.00,10.9,0.00,0.00,0.00,20001,81,4.3,3.62,14.50,0.0,1,3,-1001,1,1024,204,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:58.970,0,0.00,10.9,0.00,0.00,0.00,30001,78,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:59.070,0,0.00,10.9,0.00,0.00,0.00,30001,78,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:59.170,0,0.00,10.9,0.00,0.00,0.00,10001,78,4.3,3.62,14.50,0.0,1,3,-1003,0,1024,204,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
2017-12-20,20:08:59.270,0,0.00,10.9,0.00,0.00,0.00,20001,78,4.3,3.62,14.50,0.0,1,3,-1001,0,1024,204,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000014230,8.1
