Date,Time,RSSI(dB),RxBt(V),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),VFAS(V),Curr(A),A2(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-04-30,21:24:00.880,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,11,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:00.920,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,11,-1024,10,1024,204,165,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.020,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,9,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.120,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,9,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.220,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,11,-1024,10,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.320,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,11,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.420,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,11,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.520,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,9,-1024,9,1024,204,165,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.620,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-10,11,-1024,10,1024,204,165,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.720,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,9,-1024,9,1024,204,165,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.820,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-10,11,-1024,9,1024,204,165,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:01.920,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-12,11,-1024,9,1024,204,165,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:02.020,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,-10,11,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:02.120,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,72,9,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:02.220,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,624,9,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2018-04-30,21:24:02.320,0,0.0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0,0.0,1024,9,-1024,9,1024,204,166,1024,-684,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
