Date,Time,RSSI(dB),RxBt(V),A2(V),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-22,11:53:24.680,63,5.0,10.3,20002,15.90,3.97,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:24.750,63,5.0,10.3,30002,15.90,3.97,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:24.850,64,5.0,10.3,10002,15.90,3.97,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:24.950,64,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.050,64,5.0,10.3,10002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,543,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.150,64,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.250,63,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.350,63,5.0,10.3,10002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,544,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.450,63,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,544,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.550,63,5.0,10.3,30002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,544,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.650,63,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.750,63,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,544,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.850,63,5.0,10.3,10002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:25.950,63,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.050,63,5.0,10.3,10002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.150,65,5.0,10.3,10002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.250,65,5.0,10.3,30002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.350,65,5.0,10.3,10002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.450,65,5.0,10.3,20002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.550,64,5.0,10.3,30002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,544,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.650,64,5.0,10.3,10002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,-1,544,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-07-22,11:53:26.750,64,5.0,10.3,30002,16.00,4.00,0.2,199,-4,12,-1024,6,1024,204,0,543,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.0
