Date,Time,RSSI(dB),RxBt(V),Tmp1(@C),A4(V),VFAS(V),Curr(A),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-05-28,22:44:05.200,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,1024,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.290,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,1024,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.390,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,1024,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.490,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.590,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.690,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.790,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,1024,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.890,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,54,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:05.990,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.090,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,54,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.190,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,54,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.290,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-10,12,-1024,7,1024,204,54,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.400,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.500,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,1024,204,54,-1,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.600,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,1024,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.750,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.890,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:06.990,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,1024,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:07.090,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,1024,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:13.910,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.000,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.100,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.200,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.300,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,12,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.400,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.500,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.600,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.700,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.800,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:14.900,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,54,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:15.000,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:15.100,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
2018-05-28,22:44:15.200,0,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.00,0.00,-9,14,-1024,7,874,204,53,0,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.4
