Date,Time,Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),Curr(A),Fuel(%),RSSI(dB),RxBt(V),VFAS(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-19,20:56:23.950,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,88,5.1,12.60,-9,12,-1024,6,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:23.990,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,87,5.1,12.60,-9,12,-1024,6,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.130,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,87,5.1,12.60,-9,12,-1024,7,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.230,0.00,0.00,0.00,0.00,20001,4.20,0.0,0,87,5.1,12.60,-9,12,-1024,7,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.330,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,87,5.1,12.60,-9,12,-1024,6,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.430,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,93,5.1,12.60,-9,12,-1024,7,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.530,0.00,0.00,0.00,0.00,20001,4.20,0.0,0,93,5.1,12.60,-9,12,-1024,7,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.630,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,93,5.1,12.60,-9,12,-1024,7,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.730,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,93,5.1,12.60,-9,12,-1024,7,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.830,0.00,0.00,0.00,0.00,20001,4.20,0.0,0,93,5.1,12.60,-9,12,-1024,6,-569,-205,0,5,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:24.930,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,92,5.1,12.60,-9,12,-1024,6,-570,-205,0,5,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:25.030,0.00,0.00,0.00,0.00,20001,4.20,0.0,0,92,5.1,12.60,-9,12,-1024,6,-569,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
2018-06-19,20:56:25.130,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,92,5.1,12.60,-9,12,-1024,7,-549,-205,0,7,943,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.2
