Date,Time,Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),Curr(A),Fuel(%),RSSI(dB),RxBt(V),VFAS(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-15,11:26:32.400,0.00,0.00,0.00,0.00,20002,4.16,0.0,0,92,5.1,12.50,-6,11,-822,6,993,204,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-15,11:26:32.430,0.00,0.00,0.00,0.00,30002,4.16,0.0,0,92,5.1,12.50,-6,11,-822,6,993,204,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-15,11:26:32.530,0.00,0.00,0.00,0.00,20002,4.16,0.0,0,92,5.1,12.50,-6,11,-822,6,993,204,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-15,11:26:32.630,0.00,0.00,0.00,0.00,10002,4.16,0.0,0,92,5.1,12.50,-6,12,-822,6,993,204,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-15,11:26:32.730,0.00,0.00,0.00,0.00,30002,4.16,0.0,0,92,5.1,12.50,-6,12,-822,6,993,204,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-15,11:26:32.830,0.00,0.00,0.00,0.00,10002,4.16,0.0,0,92,5.1,12.50,-6,12,-822,6,993,204,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-15,11:27:18.110,0.00,0.00,0.00,0.00,20005,3.96,0.0,0,76,5.1,11.90,-7,12,-1024,6,993,204,-8,12,-1,0,0,1,1,1,-1,1,-1,0x0000000000000220,7.8
2018-07-15,11:27:18.190,0.00,0.00,0.00,0.00,10002,3.96,0.0,0,76,5.1,11.90,-6,12,-1024,4,993,204,-9,12,-1,0,0,1,1,1,-1,1,-1,0x0000000000000220,7.8
2018-07-15,11:27:18.290,0.00,0.00,0.00,0.00,30002,3.96,0.0,0,76,5.1,11.90,-7,12,-1024,4,993,204,-8,12,-1,0,0,1,1,1,-1,1,-1,0x0000000000000220,7.8
2018-07-15,11:27:18.390,0.00,0.00,0.00,0.00,20002,3.96,0.0,0,76,5.1,11.90,-7,12,-1024,4,993,204,-9,12,-1,0,0,1,1,1,-1,1,-1,0x0000000000000220,7.8
