Date,Time,VFAS(V),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-11-18,13:11:51.400,12.60,30002,74,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:51.430,12.60,30002,74,5.1,4.20,-13,8,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:51.530,12.60,30001,74,5.1,4.20,-12,6,-1024,9,-523,204,-2,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:51.630,12.60,30001,74,5.1,4.20,-12,8,-1024,9,-524,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:51.730,12.60,30001,76,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:51.830,12.60,20005,76,5.1,4.20,-12,8,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:51.930,12.60,10005,76,5.1,4.20,-12,8,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.030,12.60,30005,76,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.130,12.60,10005,78,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.230,12.60,30005,78,5.1,4.20,-13,8,-1024,9,-524,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.330,12.60,20005,78,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.430,12.60,10005,78,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.530,12.60,20005,76,5.1,4.20,-13,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.630,12.60,20005,76,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.730,12.60,10005,76,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2018-11-18,13:11:52.830,12.60,30005,76,5.1,4.20,-12,6,-1024,9,-523,204,-1,-1024,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
