Date,Time,VFAS(V),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-09-22,10:57:48.380,0.00,0,0,0.0,0.00,-9,11,-1024,6,1024,204,138,0,0,55,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:48.400,0.00,0,0,0.0,0.00,-9,11,-1024,6,1024,204,137,0,0,55,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:48.500,0.00,0,0,0.0,0.00,-9,11,-1024,6,1024,204,138,0,0,55,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:48.600,0.00,0,0,0.0,0.00,-10,11,-1024,6,1024,204,138,0,0,56,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:48.710,0.00,0,0,0.0,0.00,-10,11,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:48.810,0.00,0,0,0.0,0.00,-10,11,-1024,6,1024,204,138,0,0,56,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:48.910,0.00,0,0,0.0,0.00,-10,11,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:49.060,0.00,0,0,0.0,0.00,-10,11,-1024,6,1024,204,138,0,0,57,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,10:57:49.160,0.00,0,0,0.0,0.00,-10,11,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,8.3
2019-09-22,14:14:18.270,12.60,30002,88,4.9,4.20,-10,11,-1016,6,-940,204,138,0,0,-564,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.8
