Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-10,23:45:25.250,15.69,3.92,0.4,3,0.00,20002,44,86,5.1,-16,11,-1024,9,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:45:25.730,15.70,3.92,0.4,4,0.00,30002,44,82,5.1,-16,11,-1024,9,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:45:26.230,15.71,3.92,0.2,4,0.00,20002,44,87,5.1,-16,11,-1024,9,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:17.450,15.65,3.91,0.9,7,0.00,20002,49,85,5.1,-16,11,-1024,9,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:17.940,15.62,3.90,0.6,7,0.00,10005,48,84,5.1,-16,11,-1024,9,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:18.450,15.61,3.90,1.2,7,0.00,30005,48,86,5.1,-16,11,-1024,9,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:19.710,15.63,3.90,0.7,7,0.00,30002,48,87,5.1,-16,11,-1024,9,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:20.200,15.64,3.90,1.6,7,0.00,10005,48,86,5.1,-16,12,-1024,9,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:20.700,15.63,3.90,1.2,8,0.00,30005,49,88,5.1,-16,11,-1024,9,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:21.200,15.62,3.90,1.0,8,0.00,10005,49,85,5.1,-16,11,-1024,9,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:22.860,15.63,3.90,0.4,8,0.00,30002,48,85,5.1,-16,11,-1024,9,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:23.350,15.64,3.91,1.0,8,0.00,10005,48,87,5.1,-16,11,-1024,9,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:23.850,15.63,3.90,0.8,8,0.00,30005,48,90,5.1,-16,27,-1024,9,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:24.350,15.57,3.89,1.7,9,0.00,20005,48,88,5.1,-16,11,-1024,9,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:24.850,15.59,3.89,0.9,9,0.00,20005,48,87,5.1,-16,11,-1024,10,-1024,1023,-2,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:28.710,15.62,3.90,0.6,10,0.00,10002,48,83,5.1,-16,11,-1024,10,-1024,1023,-3,0,0,-1024,773,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
2020-02-10,23:48:29.210,15.60,3.90,0.5,10,0.00,30005,48,82,5.1,-16,11,-1024,10,-1024,1023,-2,0,0,-1024,774,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.5
