Date,Time,Hdg(@),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-03-08,16:49:55.500,0.00,19,16.85,0.00,0.0,0,20002,74,5.3,-18,11,-1024,10,221,1023,-27,0,0,-4,-1024,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-03-08,16:50:34.540,0.00,27,16.84,4.21,1.1,16,30002,79,5.3,-18,11,-1024,12,221,1023,-27,0,0,-4,-1024,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.3
2020-03-08,16:50:52.440,0.00,31,16.86,4.21,1.2,22,30002,69,5.3,-18,9,-1024,12,221,1023,-27,0,0,-4,-1024,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.3
2020-03-08,16:54:46.680,0.00,47,16.74,4.18,1.2,99,20002,70,5.3,-18,11,-1024,12,221,1023,-27,0,0,-4,-1024,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-03-08,16:57:12.840,0.00,26,15.97,3.99,1.1,147,30002,79,5.3,-16,9,-1024,10,658,1023,-27,0,0,-4,-1024,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-03-08,16:59:48.750,0.00,28,15.92,3.98,1.2,11,10002,70,5.3,-18,9,-1024,10,657,1023,-27,0,0,-4,-1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000A20,8.2
2020-03-08,16:59:49.240,0.00,28,15.92,3.98,1.1,11,20002,68,5.3,-18,9,-1024,10,657,1023,-27,0,0,-4,-1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000A20,8.2
2020-03-08,16:59:52.550,0.00,29,15.91,3.97,1.1,12,30002,72,5.3,-18,11,-1024,12,658,1023,-27,0,0,-4,-1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000A20,8.2
2020-03-08,17:02:49.770,0.00,44,15.91,3.97,1.2,48,30002,75,5.1,-16,11,-1024,12,657,1023,-27,0,0,-4,-1024,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,8.2
2020-03-08,17:02:55.670,0.00,45,15.89,3.97,1.2,49,10002,79,5.1,-16,11,-1024,12,657,1023,-27,0,0,-4,-1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,8.2
2020-03-08,17:03:33.970,0.00,47,15.90,3.97,1.1,62,10002,75,5.1,-16,11,-1024,10,657,1023,-27,0,0,64,-1024,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-03-08,17:11:50.970,0.00,23,16.21,4.05,1.2,18,30005,58,5.1,-16,9,-1024,10,810,1023,-27,0,0,52,-1024,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
