Date,Time,Hdg(@),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-04,08:36:11.720,0.00,47,16.55,4.13,0.9,18,20002,91,4.9,-16,9,-1024,12,-1024,1023,-2,0,0,-995,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,08:36:12.190,0.00,47,16.55,4.13,0.4,18,10002,91,4.9,-16,9,-1024,12,-1024,1023,-3,0,0,-995,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:04.090,0.00,3,16.67,4.16,0.8,0,20002,75,4.9,-16,8,-1024,12,-296,1023,-2,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:04.590,0.00,3,16.68,4.17,0.7,0,20005,75,4.9,-18,8,-1024,12,-296,1023,-2,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:06.000,0.00,5,16.59,4.15,0.5,1,30002,71,4.9,-16,8,-1024,12,-296,1023,-2,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:06.490,0.00,5,16.62,4.15,1.2,1,20005,72,4.9,-16,8,-1024,12,-296,1023,-2,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:06.990,0.00,5,16.54,4.13,1.6,1,10005,69,4.9,-16,8,-1024,12,-296,1023,-3,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:07.490,0.00,5,16.20,4.04,0.5,1,20005,73,4.9,-16,8,-1024,12,-296,1023,-2,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:07.990,0.00,6,16.07,4.01,1.1,1,10005,73,4.9,-16,-229,-1024,-337,-296,1023,-3,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:08.490,0.00,6,15.85,3.96,0.4,1,30005,73,4.9,-16,-60,-1024,-101,-296,1023,-3,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:08.990,0.00,6,15.87,3.97,0.4,1,20005,72,4.9,-13,-208,-1024,-296,-296,1023,-2,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:09.500,0.00,6,15.98,3.99,0.8,1,30005,77,4.9,-7,6,-1024,9,-296,1023,-3,0,0,-578,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:39.850,0.00,11,16.56,4.14,0.8,8,30002,78,4.9,-16,6,-1024,12,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:40.350,0.00,11,16.57,4.14,1.2,8,20005,78,4.9,-16,8,-1024,10,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:40.850,0.00,11,16.43,4.12,0.6,9,10005,80,4.9,-16,6,-1024,10,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:41.350,0.00,11,16.16,4.03,0.8,9,20005,78,4.9,-18,-9,-1024,-34,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:50:41.850,0.00,11,16.09,4.02,0.6,9,10005,77,4.9,-32,8,-950,-135,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:42.350,0.00,11,15.84,3.95,0.5,9,20005,78,4.9,-23,96,-660,93,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:42.850,0.00,12,15.71,3.95,0.8,9,10005,76,4.9,-144,67,-430,-149,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:43.350,0.00,12,15.51,3.86,0.9,9,20005,77,4.9,-127,101,-816,-49,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:43.850,0.00,12,15.68,3.92,1.1,9,10005,75,4.9,-16,11,-293,-3,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:44.350,0.00,12,15.44,3.86,1.2,9,30005,62,4.9,66,-44,-369,87,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:44.850,0.00,11,15.44,3.86,1.5,10,10005,73,4.9,158,-46,-439,174,-295,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:45.350,0.00,11,15.56,3.88,0.7,10,20005,58,4.9,233,-58,-520,339,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:45.850,0.00,11,15.50,3.87,1.1,10,30005,65,4.9,134,-95,-571,284,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:46.350,0.00,11,15.52,3.88,0.7,10,20005,66,4.9,0,6,-555,-111,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:46.850,0.00,12,15.48,3.87,0.8,10,30005,56,4.9,305,0,-658,345,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:47.350,0.00,12,15.49,3.87,1.2,10,30005,62,4.9,508,-357,-177,516,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:50:47.850,0.00,12,15.65,3.91,1.7,10,20005,72,4.9,137,193,-901,282,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:06.260,0.00,14,16.48,4.12,0.4,15,20002,50,4.9,-16,8,-1024,13,-296,1023,-2,0,0,-639,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:51:06.750,0.00,14,16.46,4.11,0.8,15,30005,45,4.9,-16,8,-1024,12,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:51:07.250,0.00,14,16.11,4.02,1.2,15,10005,45,4.9,-15,-23,-1024,12,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:51:07.750,0.00,14,16.03,4.00,1.1,15,20005,45,4.9,-93,6,-1024,258,-296,1023,-2,0,0,-639,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2020-02-04,21:51:08.250,0.00,14,16.05,4.00,1.1,15,30005,47,4.9,-174,51,-642,-77,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:08.750,0.00,14,15.86,3.96,1.2,16,10005,41,4.9,-124,135,-395,-3,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:09.250,0.00,15,15.61,3.89,0.8,16,10005,43,4.9,-187,79,-666,-208,-296,1023,-2,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:09.750,0.00,15,15.66,3.91,0.5,16,20005,51,4.9,-506,-254,-227,-344,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:10.250,0.00,15,15.43,3.85,1.2,16,30005,45,4.9,-332,-166,-304,-87,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:10.750,0.00,15,15.38,3.85,1.2,16,10005,54,4.9,-281,-50,-457,-34,-296,1023,-3,0,0,-639,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:11.250,0.00,15,15.43,3.85,0.7,16,20005,54,4.9,-190,-46,-509,1,-296,1023,-3,0,0,-639,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:11.750,0.00,15,15.53,3.87,0.8,16,30005,52,4.9,-192,25,-549,-99,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:12.250,0.00,15,15.51,3.87,1.3,17,10005,59,4.9,-220,3,-468,-222,-296,1023,-2,0,0,-639,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:12.750,0.00,15,15.57,3.89,2.1,17,20005,63,4.9,-63,-10,-435,45,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:13.250,0.00,15,15.52,3.88,1.1,17,10005,64,4.9,176,17,-603,322,-296,1023,-3,0,0,-639,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:13.750,0.00,15,15.52,3.88,1.1,17,10005,59,4.9,325,-111,-442,336,-296,1023,-3,0,0,-641,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2020-02-04,21:51:14.250,0.00,15,15.32,3.86,1.7,17,20005,54,4.9,328,-226,-501,258,-296,1023,-3,0,0,-639,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.3
