Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2000-01-10,23:04:17.340,24.21,0.00,30002,80,4.9,0.1,0,0.00,27,-16,6,-1024,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:04:17.830,24.27,4.05,30005,80,4.9,0.1,0,0.00,27,-16,6,-1024,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:04:18.330,24.34,4.05,10005,80,4.9,0.2,0,0.00,28,113,-86,-1024,-108,360,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:04:18.860,24.36,4.06,20005,77,4.9,1.8,0,0.00,28,-15,-13,-1024,-225,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:04:19.360,24.36,4.06,20005,77,4.9,1.4,0,0.00,28,-15,6,-1024,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:04:19.860,24.36,4.06,20005,78,4.9,0.3,0,0.00,28,-16,6,-1024,10,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:04:20.360,24.36,4.06,10005,78,4.9,0.2,0,0.00,29,-16,1,-954,-9,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.2
2000-01-10,23:04:20.860,24.36,4.06,10005,78,4.9,0.2,0,0.00,29,-53,-21,-850,10,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.2
2000-01-10,23:04:21.360,24.36,4.06,20005,78,4.9,1.1,0,0.00,29,-16,4,-771,10,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.2
2000-01-10,23:04:21.860,24.36,4.06,10005,77,4.9,0.7,0,0.00,29,-24,6,-612,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.2
2000-01-10,23:05:22.070,24.36,4.06,10002,77,4.9,0.1,1,0.00,38,-16,6,-1024,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:05:22.560,24.36,4.06,30002,76,4.9,0.1,1,0.00,38,-16,6,-1024,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:05:23.060,24.36,4.06,20005,76,4.9,0.1,2,0.00,38,-15,6,-1024,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:05:23.560,24.36,4.06,30005,73,4.9,0.1,2,0.00,38,-15,1,-1024,12,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
2000-01-10,23:05:24.060,24.36,4.06,20005,62,4.9,0.1,2,0.00,38,26,4,-1024,10,359,-205,0,0,0,-9,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.2
