Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-01-25,19:55:29.550,22.57,4.51,0.0,0,0.00,20002,29,94,4.8,-16,9,-1024,12,-1002,204,-1,0,0,-3,1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:30.030,22.61,4.52,0.0,0,0.00,10005,29,94,4.8,-16,8,-1024,12,-1002,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:30.530,22.58,4.51,0.0,0,0.00,30005,30,95,4.8,-16,8,-1024,12,-1002,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:31.840,22.64,4.52,0.0,0,0.00,30002,30,93,4.8,-16,9,-1024,12,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:32.330,22.63,4.52,0.0,0,0.00,20005,30,97,4.8,-16,9,-1024,12,-1002,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:32.830,22.55,4.49,0.0,0,0.00,10005,30,95,4.8,-16,686,-1024,18,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:33.330,22.03,4.41,0.0,0,0.00,20005,30,94,4.8,-16,214,-1024,1024,-1002,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:33.830,21.38,4.27,0.0,0,0.00,10005,31,95,4.8,-16,9,-1024,13,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.8
2020-01-25,19:55:35.240,22.56,4.51,0.0,0,0.00,20002,31,96,4.8,-16,9,-1024,13,-1002,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:35.730,22.58,4.51,0.0,0,0.00,10005,32,94,4.8,-16,8,-1024,13,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:36.250,22.57,4.51,0.0,0,0.00,30005,32,95,4.8,-16,8,-1024,13,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:36.750,22.55,4.51,0.0,0,0.00,20005,32,98,4.8,-16,9,-1024,13,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:37.250,22.55,4.51,0.0,0,0.00,30005,32,99,4.8,-16,8,-1024,13,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-01-25,19:55:37.750,22.55,4.50,0.0,0,0.00,20005,33,96,4.8,-16,9,-1024,13,-1002,204,-1,0,0,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
