Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-03-22,12:55:49.260,-15,11,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:49.740,-15,12,-1024,10,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:50.240,-15,11,-1024,10,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:52.100,-15,11,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:52.590,-15,11,-1024,10,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:53.090,-16,337,-1024,-96,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:53.590,-15,64,-1024,-49,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:54.090,-16,12,-1024,9,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:54.590,-15,12,-1024,-24,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:55.090,-15,12,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:55.590,-16,12,-1024,9,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:56.090,-15,12,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:56.590,-16,12,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:57.090,-15,12,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:57.590,-15,11,-1024,10,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:58.090,26,11,-1024,10,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:58.590,-15,11,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:59.090,-15,11,-1024,10,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:55:59.590,-15,12,-1024,9,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:56:00.090,-15,11,-1024,10,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:56:00.590,-16,211,-231,15,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:01.090,-95,16,-398,87,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:01.590,52,-132,-339,330,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:02.090,168,-189,-446,435,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:02.590,161,-280,-165,395,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:03.090,12,-134,-427,-155,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:03.590,-44,9,-463,-553,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:04.090,-200,-124,-431,356,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
