Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-01,17:26:31.650,0.00,0.00,0.0,0,0.00,0,0,88,4.5,-16,9,-1024,12,-1024,204,-1,0,0,937,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-02-01,17:26:32.140,0.00,0.00,0.0,0,0.00,0,0,87,4.5,-16,9,-1024,12,-1024,204,-1,0,0,937,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-02-01,17:26:32.640,0.00,0.00,0.0,0,0.00,0,0,89,4.5,-16,9,-1024,12,-1024,204,-1,0,0,937,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2020-02-01,17:26:33.140,0.00,0.00,0.0,0,0.00,0,0,88,4.5,-16,8,-1024,12,-1024,204,-1,0,0,937,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2020-02-01,17:26:33.640,0.00,0.00,0.0,0,0.00,0,0,89,4.5,-16,9,-1024,12,-1024,204,-1,0,0,937,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2020-02-01,17:26:37.900,0.00,0.00,0.0,0,0.00,0,0,89,4.5,-16,9,-1024,12,-1024,204,-1,0,0,936,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-02-01,17:26:38.390,0.00,0.00,0.0,0,0.00,0,0,87,4.5,-18,9,-1024,12,-1024,204,-1,0,0,936,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-02-01,17:34:16.210,0.00,0.00,0.0,0,0.00,0,0,85,4.4,-16,9,-1024,13,-1024,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,17:34:16.700,0.00,0.00,0.0,0,0.00,0,0,86,4.4,-16,9,-1024,13,-1024,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,17:34:17.200,0.00,0.00,0.0,0,0.00,0,0,89,4.4,-16,9,-1024,13,-1024,204,-1,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
