Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-02,18:50:49.680,0.00,0.00,0.0,0,0.00,0,0,62,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:49.820,0.00,0.00,0.0,0,0.00,0,0,69,4.5,-15,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000900,7.5
2020-02-02,18:50:50.270,0.00,0.00,0.0,0,0.00,0,0,65,4.5,-15,8,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:50.770,0.00,0.00,0.0,0,0.00,0,0,62,4.5,-15,8,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:51.270,0.00,0.00,0.0,0,0.00,0,0,69,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:51.770,0.00,0.00,0.0,0,0.00,0,0,65,4.5,-15,8,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:52.270,0.00,0.00,0.0,0,0.00,0,0,71,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:52.770,0.00,0.00,0.0,0,0.00,0,0,78,4.5,-16,9,-1024,12,-1024,1023,-2,0,0,-3,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:54.080,0.00,0.00,0.0,0,0.00,0,0,70,4.5,-15,9,-1024,12,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:54.530,0.00,0.00,0.0,0,0.00,0,0,72,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:55.020,0.00,0.00,0.0,0,0.00,0,0,71,4.5,-16,9,-1024,12,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:55.520,0.00,0.00,0.0,0,0.00,0,0,71,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:56.020,0.00,0.00,0.0,0,0.00,0,0,70,4.5,-16,9,-1024,12,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:59.480,0.00,0.00,0.0,0,0.00,0,0,80,4.5,-15,9,-1024,12,-1024,1023,-2,0,0,-3,0,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:50:59.580,0.00,0.00,0.0,0,0.00,0,0,80,4.5,-15,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:51:00.380,0.00,0.00,0.0,0,0.00,0,0,80,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:51:02.980,0.00,0.00,0.0,0,0.00,0,0,85,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:51:06.030,0.00,0.00,0.0,0,0.00,0,0,81,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:51:06.430,0.00,0.00,0.0,0,0.00,0,0,81,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:51:06.930,0.00,0.00,0.0,0,0.00,0,0,87,4.5,-16,9,-1024,13,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:51:07.430,0.00,0.00,0.0,0,0.00,0,0,84,4.5,-16,37,-1024,10,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.5
2020-02-02,18:51:07.930,0.00,0.00,0.0,0,0.00,0,0,85,4.5,-15,22,-1024,12,-1024,1023,-2,0,0,-4,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.5
