Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-06-19,06:30:52.680,14.94,3.73,0.0,0,0.00,20002,39,57,4.7,-15,12,-1024,10,-768,1023,161,0,0,-6,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:27.730,14.87,3.71,0.0,0,0.00,20002,42,66,4.8,-15,12,-1024,9,-1024,1023,161,0,0,-4,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000120,7.8
2020-06-19,06:36:28.220,14.86,3.71,0.0,0,0.00,10002,42,68,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-6,0,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000120,7.8
2020-06-19,06:36:32.630,14.89,3.72,0.0,0,0.00,20002,44,68,4.8,-13,12,-1024,9,-1024,1023,161,0,0,-6,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:33.130,14.91,3.72,0.0,0,0.00,10001,44,65,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:33.630,14.92,3.73,0.0,0,0.00,20001,44,67,4.8,-15,12,-1024,9,-1024,1023,161,0,0,-6,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:34.140,14.90,3.72,0.0,0,0.00,10001,45,69,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:34.640,14.90,3.72,0.0,0,0.00,30001,45,67,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:35.140,14.89,3.72,0.0,0,0.00,10001,45,68,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:35.640,14.90,3.72,0.0,0,0.00,30001,45,69,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-6,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:37.150,14.90,3.72,0.0,0,0.00,20005,46,66,4.8,-13,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:37.640,14.90,3.72,0.0,0,0.00,10002,46,71,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:36:38.140,14.90,3.72,0.0,0,0.00,20002,46,71,4.8,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:40.710,14.99,3.74,0.0,0,0.00,20001,38,76,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:41.200,14.99,3.74,0.0,0,0.00,10005,38,76,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:41.700,14.95,3.73,0.0,0,0.00,20005,38,73,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-6,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:42.200,14.93,3.73,0.0,0,0.00,10005,38,79,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:42.700,14.93,3.73,0.1,0,0.00,30005,38,77,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:43.200,14.94,3.73,0.1,0,0.00,30005,38,77,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-6,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:43.700,14.93,3.73,0.1,0,0.00,20005,38,75,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:47.510,14.95,3.73,0.0,0,0.00,30002,39,77,4.4,-15,12,-1024,9,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:48.000,14.95,3.73,0.0,0,0.00,10005,39,68,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:48.510,14.94,3.73,0.0,0,0.00,20005,39,74,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
2020-06-19,06:38:49.010,14.94,3.73,0.0,0,0.00,30005,39,75,4.4,-15,12,-1024,10,-1024,1023,161,0,0,-4,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.8
