Date,Time,RSSI(dB),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-11-07,21:56:18.940,108,-15,8,-1024,9,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:56:19.430,109,-13,8,-1024,10,-108,204,-1,0,0,-1020,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:56:19.930,111,-13,8,-1024,10,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:56:20.430,111,-13,8,-1024,9,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:56:20.930,110,26,72,-307,79,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:21.430,101,-3,120,-520,223,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:21.930,93,-183,-94,-322,-307,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:22.430,95,-160,-83,-288,224,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:22.930,88,-124,4,-307,113,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:23.430,80,-141,6,-322,12,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:23.930,83,-383,-280,-250,-340,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:24.430,80,-97,29,-238,227,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:24.930,71,672,12,-255,658,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:25.430,74,337,-135,-328,9,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:25.930,76,418,-137,-295,392,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:26.430,79,-9,-4,-187,-268,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:26.930,68,309,9,-239,446,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:27.430,80,88,-115,-301,-279,-108,204,-1,0,0,-1017,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:27.930,79,309,4,-398,221,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:28.430,68,218,-151,-155,301,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:28.930,80,339,-101,-476,100,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:29.430,86,159,-189,-112,-156,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:29.930,86,351,-30,-160,290,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:30.430,89,271,-101,-80,198,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:30.930,77,-622,-413,-41,-635,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:31.430,75,-110,-161,-66,187,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:31.930,88,-104,-44,-412,-270,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:32.430,71,-351,-217,-255,-363,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:32.930,105,-323,6,-276,-41,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:33.430,94,-545,-328,-228,-495,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:33.930,81,-249,-214,-65,9,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:34.430,86,-612,-314,-214,-630,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:34.930,91,-472,-268,6,10,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:35.430,99,-277,-18,-215,-282,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:35.930,89,-320,-100,-179,-198,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:36.430,86,10,-114,-209,337,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:36.930,79,-417,-194,-349,-578,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:37.430,80,-12,-23,-300,389,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:37.930,72,-153,48,-408,-147,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:38.430,57,-609,-437,-39,-593,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:38.930,72,-275,-134,-107,16,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:39.430,75,480,-148,-85,557,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:39.930,56,52,-50,-222,-226,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:40.430,81,-20,-95,0,-192,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:40.930,88,452,-138,-192,348,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:56:41.430,89,235,-3,-252,122,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
